Produto Original,Total Unidades,Frequencia,Termo de Busca
Omeprazol 20mg Globo Genérico com 56 Cápsulas Gelatinosas Duras,490.0,14,Omeprazol Globo Genérico Com Gelatinosas Duras
ASPIRINA C 1X2 MORANGO EFERV,490.0,13,Aspirina C 1X2 Morango Eferv
"Benicar 40Mg, Caixa Com 30 Comprimidos Revestidos",486.0,15,Benicar
"Drospirenona + Etinilestradiol 3Mg + 0,02Mg Nova Quimica 24 Comprimidos",486.0,16,Drospirenona Etinilestradiol 0 Nova Quimica
Mioflex A 125mg + 50mg + 300mg + 30mg Cosmed 30 Comprimidos,485.0,14,Mioflex A Cosmed
Omeprazol 20Mg 56 Cápsulas Teuto Genérico,485.0,14,Omeprazol Teuto Genérico
Cefalexina 500mg Teuto 8 Comprimidos,485.0,15,Cefalexina Teuto
"Ktriz Colagenase 0,6U + Cloranfenicol 0,01Gr Pomada Com 30Gr",484.0,15,Ktriz Colagenase 0 6U Cloranfenicol 0 R Pomada Com R
Antara 750Mg Com 30 Comprimidos,484.0,13,Antara Com
Carbocisteina 100mg Xarope Adulto 100mL Genérico,484.0,14,Carbocisteina Xarope Adulto Genérico
"Orlistate Prati-Donaduzzi 120mg, caixa com 21 cápsulas duras",483.0,14,Orlistate Prati Donaduzzi
Deca-Durabolin 50mg ml 1 Ampola 1ml Solução de Uso Intramuscular,481.0,15,Deca Durabolin Ml 1 Ampola Solução De Uso Intramuscular
"Carvedilol 12,5Mg 30Cp Med Gen",481.0,14,Carvedilol 12 30Cp Med Gen
"Besilato de Anlodipino Merck 10mg, caixa com 30 comprimidos",480.0,15,Besilato De Anlodipino Merck
Diovan Valsartana 320mg 28 Comprimidos,480.0,13,Diovan Valsartana
Lorazepam 2mg Teuto 30 Comprimidos,480.0,14,Lorazepam Teuto
"Synthroid 200mcg, caixa com 30 comprimidos",480.0,14,Synthroid
"Prednisolona Althaia 40mg, caixa com 7 comprimidos",479.0,14,Prednisolona Althaia
Sibutramina 10mg 30 Cápsulas - Eurofarma,479.0,16,Sibutramina Eurofarma
"Novalgina Comprimido 500mg, blíster com 10 comprimidos",478.0,16,Novalgina Comprimido Blíster Com
@ Amoxicilina+Clav 250Mg Sus Ems,478.0,15,Amoxicilina Clav Sus Ems
Ciprofibrato 100mg 30 comprimidos Biolab Genérico,477.0,15,Ciprofibrato Biolab Genérico
"Hexomedine 1mg/mL + 0,5mg/mL, caixa com 1 frasco spray com 50mL de colutório de uso bucal",476.0,15,Hexomedine Ml 0 Ml
Coristina D Pro 400Mg + 4Mg + 4Mg Com 4 Comprimidos,475.0,15,Coristina D Pro Com
Noex Budesonida 50mcg Spray Nasal 200 doses,474.0,14,Noex Budesonida Spray Nasal 200 Doses
"Frusalt 460mg/g + 100mg/g + 440mg/g, envelope com 5g de pó efervescente de uso oral",474.0,15,Frusalt G G G Envelope Com De Pó Efervescente De
"Gel para Pele com Rosácea Galderma Rozex 7,5mg g com 30g",474.0,15,Gel Para Pele Com Rosácea Galderma Rozex 7 G Com
"Emprol Xr 50Mg, Caixa Com 30 Comprimidos Revestidos De Liberacao Prolongada",474.0,15,Emprol Xr
"Sorine 15mg, caixa contendo 1 frasco com 30mL de solução de uso nasal + 1 conta-gotas",474.0,16,Sorine Caixa Contendo 1
Neutrofer Folico 30Cpr,473.0,16,Neutrofer Folico 30Cpr
"Dprev 10000UI, caixa com 8 comprimidos revestidos",473.0,12,Dprev 10000Ui
Alenthus XR 150mg caixa com 30 cápsulas,473.0,14,Alenthus Xr
"Phitóss 7mg/mL, caixa com 1 frasco com 100mL de xarope",472.0,13,Phitóss Ml
Melleril 100Mg 20Drg  C1,472.0,14,Melleril 20Drg C1
@ Azitromicina 1500Mg Susp Eur,471.0,14,Azitromicina Susp Eur
"Levonorgestrel Melcon 1,5Mg, Caixa Com 1 Comprimido",471.0,14,Levonorgestrel Melcon 1
Venlafaxina 75 30caps ems,471.0,15,Venlafaxina 75 30Caps Ems
Pantoprazol 40Mg 28Cpr Med Gen,470.0,15,Pantoprazol 28Cpr Med Gen
"Hirudoid 5mg/g, caixa com 1 bisnaga com 40g de gel de uso dermatológico",470.0,14,Hirudoid G
Suplemento Alimentar Ogestan Gold 30Caps,465.0,14,Suplemento Alimentar Ogestan Gold 30Caps
Sonitus Melatonina 210mcg Kester 120 comprímidos,462.0,14,Sonitus Melatonina Kester 120 Comprímidos
ProHN 30 Capsulas,462.0,14,Prohn
"Fitoscar 60mg/g, caixa com 1 bisnaga com 20g de pomada de uso dermatológico",462.0,14,Fitoscar G
"Flanax 550mg, caixa com 2 comprimidos revestidos﻿",462.0,14,Flanax
"Maleato de Dexclorfeniramina + Betametasona Biosintética - Aché 48mg + 6mg, caixa com 1 frasco com 120mL de xarope + 1 copo medidor",461.0,15,Maleato De Dexclorfeniramina Betametasona Biosintética Aché
"Dipirona Monoidratada Biosintética - Aché 500mg/mL, caixa com 1 frasco gotejador com 10mL de solução de uso oral﻿",460.0,13,Dipirona Monoidratada Biosintética Aché Ml
"Expectovic 13,33mg/mL, caixa com 1 frasco com 120mL de xarope",460.0,16,Expectovic 13 Ml
Xylocaina Pomada 5  25g,459.0,15,Xylocaina Pomada 5
"Benicar 20mg, caixa com 30 comprimidos revestidos",458.0,14,Benicar
"Neosoro 0,5mg/mL, caixa com 1 frasco gotejador com 30mL de solução de uso nasal",458.0,15,Neosoro 0 Ml
Topiramato 50mg 60 Comprimidos - Eurofarma,458.0,16,Topiramato Eurofarma
"Cloridrato De Donepezila 5Mg Ache, Caixa Com 30 Comprimidos Revestidos",456.0,15,Cloridrato De Donepezila Ache
"Sal de Frutas Eno 2 envelopes com 5g de pó efervescente de uso oral, abacaxi",456.0,15,Sal De Frutas Eno Com De Pó Efervescente De Abacaxi
@ Doxiciclina 100Mg 15Cpr Phar,456.0,16,Doxiciclina 15Cpr Phar
"Prednisona Germed Pharma 20Mg, Caixa Com 10 Comprimidos",455.0,13,Prednisona Germed Pharma
"Fenergan Comprimido 25Mg, Caixa Com 20 Comprimidos Revestidos",455.0,14,Fenergan Comprimido
"Propranolol Ems 40Mg, Caixa Com 30 Comprimidos",455.0,15,Propranolol Ems
"Levoid 88mcg, Caixa Contendo 30 Comprimidos",455.0,14,Levoid Caixa Contendo
"Gastrol 185mg + 231,5mg + 178mg, caixa com 20 pastilhas",455.0,13,Gastrol 231
MEFEX 500MG 14CPR,455.0,14,Mefex 14Cpr
"Irbesartana 300mg + Hidroclorotiazida 12,5mg Eurofarma",454.0,13,Irbesartana Hidroclorotiazida 12 Eurofarma
Naldecon Pack blíster com 6 comprimidos,454.0,15,Naldecon Pack Blíster Com
"Zinpass 20mg, caixa com 30 comprimidos revestidos",453.0,14,Zinpass
"Drospirenona 3mg + Etinilestradiol 0,03mg 21 comprimidos Neo Química Genérico",453.0,15,Drospirenona Etinilestradiol 0 Neo Química Genérico
"Hirudoid 5mg/g, caixa com 1 bisnaga com 40g de pomada de uso dermatológico",453.0,17,Hirudoid G
Alektos Bilastina 20mg 15 comprimidos,453.0,13,Alektos Bilastina
Brilinta 90mg 60 Comprimidos AstraZeneca,453.0,16,Brilinta Astrazeneca
"Entresto 24Mg + 26Mg, Caixa Com 28 Comprimidos Revestidos",453.0,15,Entresto
Daforin 20mg 3 blísteres com 20 comprimidos revestidos,451.0,14,Daforin 3 Blísteres Com Revestidos
Alprazolam 2mg 30 Comprimidos - Bio,451.0,13,Alprazolam Bio
Reconter 20mg Frasco 30ml Solução de Uso Oral,451.0,14,Reconter Frasco Solução De
Vasip 20Mg 30Cpr Rev,451.0,14,Vasip 30Cpr Rev
Myrafer 100mg ml Solução Gotas 30ml,450.0,13,Myrafer Ml Solução Gotas
"Femina 150Mcg + 20Mcg, Caixa Contendo 21 Comprimidos Revestidos",450.0,15,Femina Caixa Contendo Revestidos
"Neocopan Composto 10mg + 250mg, caixa com 20 comprimidos revestidos",450.0,13,Neocopan Composto
Cloridrato de Ciprofloxacino 500mg Pharlab com 14 comprimidos Revestidos,449.0,14,Cloridrato De Ciprofloxacino Pharlab Com Revestidos
"Hemifumarato De Bisoprolol Merck 2,5Mg, Caixa Com 30 Comprimidos Revestidos",449.0,14,Hemifumarato De Bisoprolol Merck 2
Diprogenta 064 + 1mg creme bisnaga com 30g + e20,449.0,14,Diprogenta 064 Creme Bisnaga Com E20
Flancox 400mg 20 Comprimidos Revestidos,449.0,15,Flancox Revestidos
Puran T4 112Mcg 30 Comprimidos,449.0,14,Puran T4
Deflazacorte 30mg 10 comprimidos,448.0,15,Deflazacorte
"Proctosan 0,5% + 2% + 2% + 10%, caixa com 1 bisnaga com 20g de pomada de uso retal + 6 aplicadores",448.0,14,Proctosan 0 5 2 2 10
"Exforge Hct 160Mg + 25Mg + 5Mg, Caixa Com 28 Comprimidos Revestidos",447.0,15,Exforge Hct
Molieri 30mcg 21 Comprimidos,447.0,13,Molieri
Creme Dermatológico Azelan 200mg 30g,447.0,15,Creme Dermatológico Azelan
"Citrato de Sildenafila Medley 50mg, caixa com 4 comprimidos revestidos﻿",447.0,15,Citrato De Sildenafila Medley
Leite De Magnesia Eno Hortela 120Ml,446.0,14,Leite De Magnesia Eno Hortela
Zinpass + Eze 20Mg 10Mg Com 30 Comprimidos Revestidos,445.0,15,Zinpass Eze Com Revestidos
"Hemofiss 5mg/g + 20mg/g + 100mg/g + 20mg/g, bisnaga com 30g de pomada de uso retal",445.0,14,Hemofiss G G G G Bisnaga Com De Pomada De Uso Retal
"Leite De Magnesia De Phillips, Hortela, 350Ml",445.0,13,Leite De Magnesia De Phillips Hortela
"Jardiance 10Mg, Caixa Com 30 Comprimidos Revestidos",445.0,15,Jardiance
"Maleato De Enalapril Nova Quimica 20Mg, Caixa Com 30 Comprimidos",444.0,16,Maleato De Enalapril Nova Quimica
Suplemento Probiótico Prolive caixa contendo 30 cápsulas,444.0,15,Suplemento Probiótico Prolive Caixa Contendo
Mel Rosado Farmax 30mL,442.0,14,Mel Rosado Farmax
"Osteonutri Medley 600mg + 400UI, caixa com 30 comprimidos revestidos",442.0,15,Osteonutri Medley 400Ui
Novanlo 5mg 30 Comprimidos,442.0,14,Novanlo
Alpes Xl 150Mg Com 30 Comprimidos,442.0,15,Alpes Xl Com
"Psorex Propionato de Clobetasol 0,5mg g Creme 30g",442.0,13,Psorex Propionato De Clobetasol 0 G Creme
Sinot clav 875mg 20cps,441.0,13,Sinot Clav 20Cps
"Fluxocor 20mg, caixa com 30 comprimidos revestidos",441.0,15,Fluxocor
Advil Extra 400 Mg 3 Capsula,441.0,13,Advil Extra
"Tandrilax 30mg + 125mg + 50mg + 300mg, caixa contendo 30 comprimidos",441.0,17,Tandrilax Caixa Contendo
"Valsartana 320Mg Ache, Caixa Com 30 Comprimidos Revestidos",441.0,15,Valsartana Ache
Duloxetina 30Mg 30Cap Ems,440.0,15,Duloxetina 30Cap Ems
"Polvilho Antisséptico Granado 3,0g + 0,352g + 17,602g + 11,735g, caixa com 1 frasco com 100g de pó de uso dermatológico",440.0,15,Polvilho Antisséptico Granado 3 0 17 11
"Oxipelle 10mg/g, caixa com 1 bisnaga com 20g de creme de uso dermatológico",440.0,14,Oxipelle G
"Polaramine Creme 10Mg G, Caixa Com 1 Bisnaga Com 30G De Creme De Uso Dermatologico",440.0,13,Polaramine Creme G
Simbioflora 15 sachês com 6g de pó para solução de uso oral,440.0,16,Simbioflora 15 Sachês Com De Pó Para Solução De
Inseris Xr 150Mg Com 10 Comprimidos Revestidos,440.0,14,Inseris Xr Com Revestidos
Materna Nestle 30 Capsula,439.0,14,Materna Nestle
Suplemento Urocran Cranberry 30 cápsulas,439.0,14,Suplemento Urocran Cranberry
"Rivotril 0,25Mg 30Cpr",439.0,14,Rivotril 0 30Cpr
Magnostase 2mg Neo Química 12 Comprimidos,438.0,14,Magnostase Neo Química
Vitamina C Resfedryl Tripla Ação 10Cpr Efervescentes,438.0,16,Vitamina C Resfedryl Tripla Ação 10Cpr Efervescentes
Pregabalina 75mg Biosintética 30 Cápsulas Duras,438.0,13,Pregabalina Biosintética Duras
"Colchicina 0,5mg Geolab 30 Comprimidos",438.0,14,Colchicina 0 Geolab
"Disfor Artro Caixa com 30 sachês com 11,5g cada de pó para solução oral",437.0,14,Disfor Artro
"Alenia 6mcg + 200mcg, caixa com 60 cápsulas gelatinosas duras com pó de uso inalatório﻿ (refil)",437.0,13,Alenia
Biomag 15mg - 60 cápsulas,437.0,15,Biomag
Ácido Fusídico + Valerato de Betametasona - Nova Química 20 + 1mg g creme dermatológico bisnaga com 15g,436.0,13,Ácido Fusídico Valerato De Betametasona Nova Química 20 G Creme Dermatológico Bisnaga Com
"Addera D3 Capsulas 10000Ui, Caixa Com 4 Capsulas Moles",436.0,15,Addera D 10000Ui
Zider 10mg 120 Comprimidos Revestidos,436.0,15,Zider Revestidos
Efexor XR 150mg 30 Cápsulas Gelatinosas Duras,436.0,14,Efexor Xr Gelatinosas Duras
Bucliplex 30Cpr,435.0,14,Bucliplex 30Cpr
"Grow D tutti frutti, 10mL",435.0,14,Grow D Tutti Frutti
"Paracetamol Uniao Quimica 750Mg, Caixa Com 20 Comprimidos",435.0,15,Paracetamol Uniao Quimica
Cloridrato de Nebivolol 5mg Biosintética 30 Comprimidos,434.0,14,Cloridrato De Nebivolol Biosintética
Oto Betnovate 1 + 10 + 5mg ml solução otológica frasco gotejador com 10ml,434.0,15,Oto Betnovate 1 10 Ml Solução Otológica Frasco Gotejador Com
"Histamin 2mg, caixa com 20 comprimidos",434.0,13,Histamin
"Iumi ES 3mg + 0,02mg, caixa com 120 comprimidos revestidos",434.0,14,Iumi Es 0
"Levoid 100Mcg, Caixa Contendo 30 Comprimidos",434.0,15,Levoid Caixa Contendo
"Paracetamol Medquímica 750mg, caixa com 10 comprimidos",433.0,16,Paracetamol Medquímica
"Desogestrel + Etinilestradiol Eurofarma 0,150 + 0,020Mg, Caixa Com 21 Comprimidos",433.0,13,Desogestrel Etinilestradiol Eurofarma 0 150 0
"Levotiroxina Sodica Merck 112Mcg, Caixa Com 30 Comprimidos",433.0,12,Levotiroxina Sodica Merck
"Torsilax 125mg + 50mg + 300mg + 30mg, caixa com 30 comprimidos",432.0,14,Torsilax
"Microvlar 0,15Mg + 0,03Mg, Caixa Com 21 Drageas",432.0,14,Microvlar 0 0
Captopril 25mg 30 Comprimidos Genérico,432.0,14,Captopril Genérico
"Merthiolate 10Mg Ml, Caixa Com 1 Frasco Spray Com 45Ml De Solucao Aquosa De Uso Dermatologico",431.0,15,Merthiolate Ml
"Atenolol + Clortalidona Medley 50mg + 12,5mg, caixa com 30 comprimidos",431.0,14,Atenolol Clortalidona Medley 12
Decadron 5ml Colírio,431.0,15,Decadron Colírio
Zyxem Dicloridrato de Levocetirizina 5mg mL Gotas 20mL,430.0,13,Zyxem Dicloridrato De Levocetirizina Ml Gotas
Pantoprazol 40 Mg 28 Comprimidos Eur,430.0,14,Pantoprazol Eur
Profergan 20mg g Creme Dermatológico com 30g,430.0,13,Profergan G Creme Dermatológico Com
"Valsartana 160Mg Ache, Caixa Com 30 Comprimidos Revestidos",430.0,13,Valsartana Ache
Cloridrato de Sertralina 50mg 30 Comprimidos NQ,429.0,14,Cloridrato De Sertralina Nq
"Domperidona Nova Quimica 10Mg, Caixa Com 60 Comprimidos",429.0,15,Domperidona Nova Quimica
"Paracetamol Medquímica 200mg/mL, caixa com 1 frasco gotejador com 15mL de solução de uso oral",429.0,14,Paracetamol Medquímica Ml
Rosuvastatina Calcica 10mg 30 Comprimidos Revestidos,429.0,15,Rosuvastatina Calcica Revestidos
Digedrat 200Mg 30Cap,428.0,15,Digedrat 30Cap
Calotrat 5 Ml Galenogal,428.0,15,Calotrat Galenogal
Cicatricure Gel 60G,428.0,15,Cicatricure Gel
"Natrilix SR 1,5mg 60 Comprimidos Revestidos",428.0,13,Natrilix Sr 1 Revestidos
"Serenus 0,15mg + 0,2mg + 1,5mg, caixa com 20 comprimidos revestidos",427.0,13,Serenus 0 0 1
"Depo-Provera 150Mg Ml, Caixa Com 1 Frasco Com Suspensao De Uso Intramuscular + 1 Seringa Preenchida Com 1Ml De Diluente + Agulha",427.0,13,Depo Provera Ml
@ Amoxicilina 875Mg 14Cpr Eur,427.0,14,Amoxicilina 14Cpr Eur
Forten caixa com 10 frascos com 10mL de solução + pó para preparação de uso oral﻿,427.0,14,Forten
"Olmesartana Medoxomila + Hidroclorotiazida Neo Química 20mg + 12,5mg, caixa com 30 comprimidos revestidos",427.0,13,Olmesartana Medoxomila Hidroclorotiazida Neo Química 12
"Cobavital 1mg + 4mg, caixa com 16 microcomprimidos",426.0,13,Cobavital
"Epocler 100mg mL + 50mg mL + 10mg mL, caixa com 6 flaconetes com 10mL de solução de uso oral",426.0,14,Epocler Ml Ml Ml
Bromazepam 3Mg 30Cpr Bio G,426.0,13,Bromazepam 30Cpr Bio G
"Clenil Compositum Hfa 50Mcg Dose + 100Mcg Dose, Caixa Com 1 Aerosol Bucal Com 200 Doses De Suspensao De Uso Inalatorio + 1 Dispositivo Oral",425.0,17,Clenil Compositum Hfa Dose Dose
Sinot Clav 875mg + 125mg 14 Comprimidos,425.0,13,Sinot Clav
Cloridrato de Sibutramina - EMS 15mg caixa com 30 cápsulas,425.0,13,Cloridrato De Sibutramina Ems
"Doril DC 500 500mg + 65mg, caixa com 16 comprimidos",425.0,13,Doril Dc 500
"Dipimed 500Mg Ml, Caixa Com 1 Frasco Com 20Ml De Solucao De Uso Oral",425.0,14,Dipimed Ml
"Depomês 25mg/mL + 5mg/mL, caixa com 1 ampola com 1mL de suspensão de uso intramuscular",425.0,13,Depomês Ml Ml
Frontal 025mg caixa com 30 comprimidos,424.0,15,Frontal
"Elani Ciclo 3mg+0,03mg 63 Comprimidos Revestidos",423.0,14,Elani Ciclo 0 Revestidos
"Ems Expector 0,4Mg Ml, + 4Mg Ml + 20Mg Ml, Caixa Com 1 Frasco Com 120Ml De Xarope + Copo Dosador",423.0,14,Ems Expector 0 Ml Ml Ml
"Azukon MR 30mg, caixa com 30 comprimidos de liberação prolongada",423.0,15,Azukon Mr
Fumarato Quetiapina 25 30Cp Med,423.0,14,Fumarato Quetiapina 25 30Cp Med
Amoxicilina 250mg União Química Frasco 150ml,423.0,15,Amoxicilina União Química Frasco
"Metildopa Ems 500Mg, Caixa Com 30 Comprimidos Revestidos",423.0,16,Metildopa Ems
Pregabalina 150mg Eurofarma 30 Cápsulas,423.0,15,Pregabalina Eurofarma
"Vitamina C Cebion Comprimido 1G, Caixa Com 10 Comprimidos Efervescentes, Sabor Laranja",422.0,13,Vitamina C Cebion Comprimido
"Captopril Pharlab 50Mg, Caixa Com 30 Comprimidos",422.0,13,Captopril Pharlab
"Sulfato de Neomicina + Bacitracina Zíncica Cimed 5mg/g + 250UI/g, caixa com 1 bisnaga com 15g de pomada de uso dermatológico",422.0,13,Sulfato De Neomicina Bacitracina Zíncica Cimed G 250Ui G
"Paracetamol Prati-Donaduzzi 750Mg, Blister Com 10 Comprimidos Revestidos",422.0,15,Paracetamol Prati Donaduzzi Blister Com Revestidos
Endofolin 5 Mg 30 Comprimidos,422.0,13,Endofolin
Vitamina D Doss 2.000UI com 4 Cápsulas,422.0,14,Vitamina D Doss 2 000Ui Com
Ursacol Ácido Ursodesoxicólico 300mg 30comp.,422.0,14,Ursacol Ácido Ursodesoxicólico 30Comp
Tylemax Gotas 200mg 15mL,421.0,15,Tylemax Gotas
"Fumarato de Cetotifeno Xarope 0,2mg mL Genérico Prati 120mL",421.0,14,Fumarato De Cetotifeno Xarope 0 Ml Genérico Prati
Labirin 8mg 30 comprimidos,421.0,13,Labirin
Probiatop 30 Saches Com 1G De Po Para Solucao De Uso Oral,421.0,13,Probiatop 30 Saches Com De Po Para Solucao De
"Micardis HCT 40mg + 12,5mg 30 Comprimidos",421.0,12,Micardis Hct 12
Lexotan 6mg caixa com 30 comprimidos,421.0,14,Lexotan
"Pred 10mg/mL, caixa com 1 frasco gotejador com 5mL de solução de uso oftálmico",420.0,13,Pred Ml
Suplemento Vitaminico Centrum 60 Comprimidos,420.0,13,Suplemento Vitaminico Centrum
"Desloratadina 0,5mg ml Xarope 100ml Aché Genérico",420.0,14,Desloratadina 0 Ml Xarope Aché Genérico
Janumet 50 1000mg com 56 Comprimidos,419.0,15,Janumet 50 Com
"Trol Par 37,5Mg + 325Mg, Com 10 Comprimidos",419.0,14,Trol Par 37 Com
"Nitazoxanida Eurofarma 20Mg Ml, Caixa Com 1 Frasco Com Po Para Suspensao De Uso Oral  Frasco Com Capacidade De 45Ml  + Seringa Dosadora",419.0,13,Nitazoxanida Eurofarma Ml
Dorene Tabs 75Mg 30Cpr,419.0,15,Dorene Tabs 30Cpr
Paracetamol 500mg + Fosfato de Codeína 30mg Nova Química 12 Comprimidos,419.0,15,Paracetamol Fosfato De Codeína Nova Química
"Rinosoro Jet 9mg/mL, frasco spray com 100mL de solução de uso nasal",419.0,13,Rinosoro Jet Ml Frasco Spray Com De Solução De Uso Nasal
Fexx Cloridrato de Fexofenadina 120mg 10 comprimidos,418.0,15,Fexx Cloridrato De Fexofenadina
Cloridrato de Metformina 750mg 30 Comprimidos Prati Donaduzzi,418.0,14,Cloridrato De Metformina Prati Donaduzzi
Scalid 100mg União Química 12 comprimidos,418.0,12,Scalid União Química
Pradaxa 110mg 60 Cápsulas,418.0,15,Pradaxa
"Minilax 714Mg G + 7,70Mg G, Caixa Com 7 Bisnagas Com 6,5G De Solucao De Uso Retal",417.0,14,Minilax G 7 G
"Adinos 0,5Mg G, Caixa Com 1 Bisnaga Com 30G De Gel Creme De Uso Dermatologico",417.0,13,Adinos 0 G
Propilracil 100mg com 30 comprimidos,417.0,13,Propilracil Com
Cetoconazol 200mg 10 comprimidos Cimed Genérico,416.0,14,Cetoconazol Cimed Genérico
"Cetoconazol + Dipropionato de Betametasona Eurofarma 20mg/g + 0,5mg/g, caixa com 1 bisnaga com 30g de creme de uso dermatológico",416.0,16,Cetoconazol Dipropionato De Betametasona Eurofarma G 0 G
Cetoprofeno 100 Mg 20 Comprimidos Med Gen,416.0,14,Cetoprofeno Med Gen
Magnesia Bisurada 10 Comprimidos,416.0,15,Magnesia Bisurada
Cefalexina 500mg 10cpr uni,415.0,12,Cefalexina 10Cpr Uni
"Lidocaína Pomada EMS 50mg/g, caixa com 1 bisnaga com 25g de pomada de uso dermatológico",415.0,13,Lidocaína Pomada Ems G
"Valsartana Neo Química 80mg, caixa com 30 comprimidos revestidos",415.0,15,Valsartana Neo Química
"Risedross 35mg, caixa com 12 comprimidos revestidos",414.0,14,Risedross
Escitalopram 15Mg 30Cpr Med,414.0,14,Escitalopram 30Cpr Med
Dividol 70mg 12 Capsulas Gelatinosas Duras A1,414.0,14,Dividol Gelatinosas Duras A1
"Libiam 2,5mg Libbs 28 comprimidos",414.0,14,Libiam 2 Libbs
Expectuss Xarope Infantil 100mL,413.0,15,Expectuss Xarope Infantil
"Vick Pyrena, 1 Envelope Mel E Limao",413.0,14,Vick Pyrena Mel E Limao
Zinco Quelato Kester 60 cápsulas,413.0,14,Zinco Quelato Kester
"Tantin 0,060mg + 0,015mg, caixa com 28 comprimidos revestidos",413.0,14,Tantin 0 0
Cálcio Mobility Os-Cal 500mg 60 comprimidos revestidos,413.0,13,Cálcio Mobility Os Cal Revestidos
Stabil 025mg caixa com 30 comprimidos,413.0,12,Stabil
Lavitan Multi 5G Homem caixa com 60 comprimidos,413.0,14,Lavitan Multi Homem
"Hemifumarato De Bisoprolol Medley 2,5Mg, Caixa Com 30 Comprimidos Revestidos",413.0,15,Hemifumarato De Bisoprolol Medley 2
Sal Amargo Farmax caixa com 30g de pó para solução de uso oral,412.0,13,Sal Amargo Farmax
Pastilhas Drops Vick laranja com 5 unidades,412.0,15,Pastilhas Drops Vick Laranja Com
Ferrovitan Com Colina Solução Oral 60mL,412.0,14,Ferrovitan Com Colina Solução Oral
Azitromicina 600mg Neo Química Pó para Preparo Extemporâneo 15ml + Diluente + Seringa Dosadora,412.0,12,Azitromicina Neo Química Pó Para Preparo Extemporâneo Diluente Seringa Dosadora
Pantogar Neo com 60 Capsulas,412.0,13,Pantogar Neo Com
