EAN;Produto_Original;Preco;Farmacia;Preco_De_Tabela;Preco_Pix;Preco_Cartao;Status_Preco
7891317140885;Piemonte10mg 30 comprimidos revestidos;Consultar;Vera Cruz;76.50;58.87;61.97;Disponível
7896230301689;Calicida Solução ADV 10ml;Consultar;Vera Cruz;25.90;24.61;25.90;Disponível
7897337716345;Microdiol 150mcg + 30mcg 21 comprimidos;Consultar;Vera Cruz;52.41;34.35;36.16;Disponível
7896676410761;Funtyl 250mg 14 comprimidos;Consultar;Vera Cruz;158.46;150.54;52.82;Esgotado
7896637022910;Unoprost 2mg 30 comprimidos;Consultar;Vera Cruz;36.48;30.15;31.74;Disponível
7896083402625;Imunoflan 307,39mg/ml Xarope 120ml;Consultar;Vera Cruz;136.96;113.20;59.58;Esgotado
7894916550048;Propranolol 10mg 30 comprimidos;Consultar;Vera Cruz;10.82;8.43;8.87;Disponível
7896112470526;Press Plus 2,5mg + 10mg 30 cápsulas;Consultar;Vera Cruz;78.95;75.00;78.95;Disponível
7896094209503;Iziz 2,5mg + 1,5mg 28 Comprimidos Revestidos;Consultar;Vera Cruz;59.61;45.31;47.69;Disponível
7893454100654;Dermosalic 0,5mg/ml + 20,0mg/ml 30ml;Consultar;Vera Cruz;53.06;22.69;23.88;Disponível
7891317009748;Tâmisa 30 Sem Parar 75mcg + 30mcg 28 drágeas;Consultar;Vera Cruz;51.68;40.75;42.89;Disponível
7896094922426;Nesina Met* 12,5mg + 1000mg 60 comprimidos revestidos;Consultar;Vera Cruz;191.75;182.16;63.92;Esgotado
7896226101873;Endofolin 5mg 30 comprimidos revestidos;Consultar;Vera Cruz;47.26;38.61;40.64;Disponível
7896255764933;Tanakan 120mg 30 comprimidos revestidos;Consultar;Vera Cruz;367.35;275.70;96.74;Disponível
7896658007996;Decongex Plus 4 comprimidos;Consultar;Vera Cruz;10.76;9.41;9.90;Disponível
7891721014796;Euthyrox 200mcg 50 comprimidos;Consultar;Vera Cruz;74.87;54.06;56.90;Disponível
7896261005884;Diovan 160mg 28 comprimidos revestidos;Consultar;Vera Cruz;151.14;143.58;50.38;Disponível
7895858010324;Zyloric 100mg 30 comprimidos;Consultar;Vera Cruz;23.65;19.77;20.81;Disponível
7896523201436;Leite de Magnésia 80mg/ml Sem Sabor 120ml;Consultar;Vera Cruz;12.90;6.62;6.97;Esgotado
7896181909088;DERMOMAX - 40mg/g 1 bisnaga com 5g de creme de uso dermatológico;Consultar;Vera Cruz;31.23;29.67;31.23;Esgotado
7896094921986;Neosaldina 4 drágeas;Consultar;Vera Cruz;9.20;7.08;7.45;Disponível
7896226506142;Tamiflu 75mg 10 cápsulas;Consultar;Vera Cruz;388.52;369.09;129.51;Esgotado
7891317462475;Primera 20 150mcg + 20mcg 63 comprimidos;Consultar;Vera Cruz;94.63;72.82;76.65;Disponível
7896083410415;Prostatal 160mg 30 cápsulas moles;Consultar;Vera Cruz;168.34;142.33;74.91;Disponível
7896548199572;Solução Oftálmica Simbrinza 10mg/ml + 2mg/ml 8ml;Consultar;Vera Cruz;164.17;155.96;54.72;Disponível
7896227800041;Salonpas Air Aerosol 80ml;Consultar;Vera Cruz;52.61;43.48;45.77;Disponível
7891142177049;Predsim 5mg 20 comprimidos;Consultar;Vera Cruz;27.77;23.22;24.44;Disponível
7896523202822;Loratamed 10mg Cimed 12 comprimidos;Consultar;Vera Cruz;22.44;4.84;5.09;Disponível
7896714200804;Torsilax Neo Química 30 comprimidos;Consultar;Vera Cruz;36.13;15.45;16.26;Disponível
7896658006043;Diosmin 450mg + 50mg 30 comprimidos revestidos;Consultar;Vera Cruz;70.37;66.85;70.37;Disponível
7898029550131;ARCALION - 200mg, 60 drágeas;Consultar;Vera Cruz;173.41;149.91;52.60;Esgotado
7894916500425;Neutrofer Fólico 150mg + 5mg 30 comprimidos revestidos;Consultar;Vera Cruz;46.94;39.69;41.78;Esgotado
7891721016202;Floralyte 45 Sabor Guaraná 500ml;Consultar;Vera Cruz;23.12;21.96;23.12;Esgotado
7896112406402;Embo 2,5mg 20 comprimidos revestidos;Consultar;Vera Cruz;78.92;56.23;59.19;Disponível
7897406119886;Cutisanol 3mg/g + 1,5mg/g + 93,33mg/g Pó 150g;Consultar;Vera Cruz;56.50;46.70;49.16;Disponível
7896094921887;Ondif 8mg 10 filmes;Consultar;Vera Cruz;92.65;80.98;85.24;Disponível
7898029558816;Vastarel MR 35mg 60 comprimidos de liberação prolongada;Consultar;Vera Cruz;203.68;154.79;54.31;Disponível
7896637023450;Lonium 40mg 60 comprimidos revestidos;Consultar;Vera Cruz;143.94;121.70;64.06;Disponível
7896422528719;Zinpass 10mg 30 comprimidos revestidos;Consultar;Vera Cruz;68.71;52.88;55.66;Disponível
7892953101865;Tecnomet 2,5mg 20 comprimidos;Consultar;Vera Cruz;44.94;32.87;34.60;Disponível
7894916503419;Somalgin Cardio 200mg 32 comprimidos revestidos de dupla camada;Consultar;Vera Cruz;31.67;25.57;26.92;Disponível
7896181915072;Lotar 5mg + 50mg 30 cápsulas;Consultar;Vera Cruz;88.06;68.60;72.21;Disponível
7892953000328;Condroflex 1,5g + 1,2g 30 sachês com pó para solução oral;Consultar;Vera Cruz;157.65;104.84;55.18;Disponível
7896637023658;Miosan 5mg 10 comprimidos revestidos;Consultar;Vera Cruz;20.40;10.66;11.22;Disponível
7896637026307;Lactosil 10.000 FCC contém 30 Sachês 2g cada;Consultar;Vera Cruz;94.90;78.43;82.56;Disponível
7891010986155;Analgésico Tylenol 500mg 20 comprimidos revestidos;Consultar;Vera Cruz;37.44;28.10;29.58;Disponível
7896006217480;Neocopan Composto Gotas 10ml;Consultar;Vera Cruz;16.23;15.42;16.23;Disponível
7896094906310;Doril Enxaqueca 4 comprimidos revestidos;Consultar;Vera Cruz;10.71;9.05;9.53;Disponível
7896269900822;Valtrex 500mg 42 comprimidos revestidos;Consultar;Vera Cruz;802.95;762.80;267.65;Esgotado
7896658001079;Cefaliv Aché 12 comprimidos;Consultar;Vera Cruz;22.78;20.13;21.19;Disponível
7896094916258;Lisador Dip 1g 8 comprimidos;Consultar;Vera Cruz;19.82;17.70;18.63;Disponível
7896112416463;Ecasil 81 81mg 90 comprimidos revestidos;Consultar;Vera Cruz;51.37;40.99;43.15;Disponível
8902220109506;Rosucor 10mg 30 comprimidos revestidos;Consultar;Vera Cruz;44.79;31.07;32.70;Disponível
7897322701738;Maxsulid 400mg 10 Comprimidos;Consultar;Vera Cruz;51.01;43.13;45.40;Disponível
7896637032919;Xafac 2,5mg 30 comprimidos;Consultar;Vera Cruz;95.32;62.48;65.77;Disponível
7896658003165;Adinos 0,5mg/g Gel Creme 15g;Consultar;Vera Cruz;22.20;18.98;19.98;Disponível
7891721201530;Glifage XR 850mg 30 comprimidos de liberação prolongada;Consultar;Vera Cruz;42.48;32.28;33.98;Disponível
7896658028120;Domped 5ml/ml Gotas 20ml;Consultar;Vera Cruz;61.83;58.74;61.83;Esgotado
7896094922105;Pomada Dermatológico Nebacetin 15g;Consultar;Vera Cruz;31.99;27.35;28.79;Disponível
7898037080460;Complexo Homeopático Almeida Prado N 46 60 Comprimidos;Consultar;Vera Cruz;42.26;31.31;32.96;Disponível
7891106906890;Allurene 2mg 28 comprimidos;Consultar;Vera Cruz;242.74;184.48;64.73;Esgotado
7896004729381;Hormoskin 40mg/g + 0,5mg/g + 0,1mg/g Creme Dermatológico 30g;Consultar;Vera Cruz;180.86;161.51;56.67;Disponível
7896015560331;Sal de Frutas Eno Laranja 100g;Consultar;Vera Cruz;30.73;23.66;24.90;Disponível
7896641803642;Proctyl 50mg/g + 10mg/g Pomada 10 bisnagas com 3g cada + 10 aplicadores;Consultar;Vera Cruz;95.69;79.09;83.25;Disponível
7898040322540;Solução Nasal Maresis 0,9% Spray Jato Contínuo 100ml;Consultar;Vera Cruz;55.34;48.90;51.47;Disponível
7896331704037;Emulsão Sanasar 250mg/ml 100ml;Consultar;Vera Cruz;25.51;19.14;20.15;Disponível
7896094200982;Caltren 10mg 30 comprimidos;Consultar;Vera Cruz;86.57;64.97;68.39;Disponível
7896004810232;Dermobene 10mg/ml 20ml;Consultar;Vera Cruz;35.28;21.12;22.23;Esgotado
7896714201108;Neo Fólico 5mg Neo Química 20 comprimidos revestidos;Consultar;Vera Cruz;13.71;8.85;9.32;Disponível
7896004759432;Esomex 40mg 56 comprimidos revestidos de liberação retardada;Consultar;Vera Cruz;166.40;158.08;55.47;Disponível
7898158690395;Pediderm 0,2mg/ml  Loção 100ml;Consultar;Vera Cruz;27.97;22.58;23.77;Disponível
7896261009554;Diovan 320mg 28 comprimidos revestidos;Consultar;Vera Cruz;151.14;143.58;50.38;Esgotado
7896658030369;Betadine XR 48mg 30 comprimidos;Consultar;Vera Cruz;87.46;68.13;71.72;Disponível
7891142171757;Antialérgico Polaramine Xarope 0,4mg/ml Sabor de Frutas 120ml;Consultar;Vera Cruz;39.98;35.32;37.18;Disponível
7896094921214;Antiácido Pó Efervescente Estomazil Sabor Sem Sabor 6 envelopes com 5g cada;Consultar;Vera Cruz;15.49;11.92;12.55;Disponível
7896094921979;Neosaldina 20 drágeas;Consultar;Vera Cruz;35.99;26.67;28.07;Disponível
7896637024358;Colchis 0,5mg 30 comprimidos;Consultar;Vera Cruz;84.69;38.62;40.65;Disponível
7897473201637;Adacne 0,1% Gel 30g;Consultar;Vera Cruz;54.42;51.70;54.42;Esgotado
7898040322137;Adoless 3 0,060mg + 0,015mg 84 comprimidos revestidos;Consultar;Vera Cruz;131.65;100.05;52.66;Disponível
7896658011368;Diosmin SDU 900mg + 100mg Sabor Laranja / Limão 30 sachês com 5g cada;Consultar;Vera Cruz;198.62;188.69;66.21;Esgotado
7891317177676;Primera 30 150mcg + 30mcg 21 comprimidos;Consultar;Vera Cruz;45.05;35.52;37.39;Disponível
7897316805299;Solução Oftálmica Relestat 5mg/ml 5ml;Consultar;Vera Cruz;82.88;74.01;77.91;Disponível
7891268118001;Ponstan 500mg 24 comprimidos;Consultar;Vera Cruz;47.38;39.16;41.22;Disponível
7896523206547;Valerimed 50mg 20 comprimidos revestidos;Consultar;Vera Cruz;27.34;19.74;20.78;Esgotado
7896094915381;Atroveran Dip 1g 20 comprimidos;Consultar;Vera Cruz;27.49;23.50;24.74;Disponível
7896112421498;Xefo 8mg 30 comprimidos revestidos;Consultar;Vera Cruz;54.33;43.87;46.18;Disponível
7897411601505;Hirudoid 300 Gel 3mg/g 40g;Consultar;Vera Cruz;42.39;40.27;42.39;Disponível
7891142141286;Diprosone 0,5mg/ 30ml;Consultar;Vera Cruz;55.36;47.86;50.38;Disponível
7898074618183;Xarope Seki 120ml;Consultar;Vera Cruz;32.49;27.46;28.91;Disponível
7896094918108;Benegrip Multi Dia 20 comprimidos;Consultar;Vera Cruz;45.99;41.07;43.23;Disponível
7896026300155;Laxante Dulcolax 5mg 20 drágeas;Consultar;Vera Cruz;20.47;17.38;18.29;Disponível
7896261004900;Diovan HCT 160mg + 12,5mg Novartis 28 comprimidos revestidos;Consultar;Vera Cruz;157.14;149.28;52.38;Disponível
7896112144892;Ferronil 40mg 50 comprimidos revestidos;Consultar;Vera Cruz;15.15;9.06;9.54;Disponível
7894916516310;Enavo 8mg 10 comprimidos EMS;Consultar;Vera Cruz;59.85;43.78;46.08;Disponível
7896094928732;Lisador Cólica 20 comprimidos revestidos;Consultar;Vera Cruz;27.97;24.98;26.29;Disponível
7897337716178;Nites 50mcg/automatizção Spray 120 dose 17ml;Consultar;Vera Cruz;70.44;60.23;63.40;Esgotado
7897947603783;Creme de Arnica Cimed com Mentol 60g;Consultar;Vera Cruz;14.90;9.62;10.13;Esgotado
7891317124281;Holmes H 40mg + 12,5mg 30 comprimidos revestidos;Consultar;Vera Cruz;90.04;65.86;69.33;Disponível
7896422516624;Respiratus 7mg/m Xarope Aroma Artificial de Cereja 100ml;Consultar;Vera Cruz;40.63;34.35;36.16;Disponível
7896658016653;Bravan 80mg 30 comprimidos revestidos;Consultar;Vera Cruz;51.91;49.31;51.91;Disponível
7896637032803;Eniagor 50mg/ml Solução Capilar 2 frascos 50ml cada;Consultar;Vera Cruz;111.29;65.55;69.00;Esgotado
7896372505006;Castanha da Índia Atalaia 30 drágeas;Consultar;Vera Cruz;60.21;50.91;53.59;Disponível
7897129300134;Verrux 0,20g/ml + ,015ml/ml Solução 10ml;Consultar;Vera Cruz;78.90;68.86;72.48;Disponível
7896094202047;Cebralat 100mg 60 comprimidos;Consultar;Vera Cruz;94.72;67.49;71.04;Esgotado
7898582380268;Belarina 2mg + 0,02mg 28 comprimidos revestidos;Consultar;Vera Cruz;68.01;51.69;54.41;Disponível
7891317033149;Coltrax 4mg 20 comprimidos;Consultar;Vera Cruz;71.46;57.70;60.74;Disponível
7899620911543;Xarope Specdera Sabor Cereja 100ml;Consultar;Vera Cruz;27.19;22.99;24.20;Esgotado
7896658025112;Prolive 30 cápsulas;Consultar;Vera Cruz;129.90;123.41;64.95;Disponível
7896094914353;Antiácido Pó Efervescente Estomazil Sabor Guaraná 5g;Consultar;Vera Cruz;3.48;2.75;2.89;Disponível
7891268106596;Viagra 50mg 2 Comprimidos;Consultar;Vera Cruz;76.29;63.05;66.37;Disponível
7891158104060;Vitamina D Sof D 7.000 UI 8 cápsulas gelatinosas moles;Consultar;Vera Cruz;35.55;29.04;30.57;Disponível
7896331703573;Ritmoneuran RTM Solução Oral 100ml;Consultar;Vera Cruz;29.90;22.15;23.32;Esgotado
7894916515764;Vynaxa 10mg 30 Comprimidos Revestidos;Consultar;Vera Cruz;53.39;42.09;44.31;Disponível
7896023700637;Camomila Composta Catarinense Solução Oral 150ml;Consultar;Vera Cruz;39.90;28.80;30.32;Disponível
7891268107609;Xalatan 50mcg/ml Colírio 2,5ml;Consultar;Vera Cruz;253.00;211.51;74.21;Disponível
7891058021689;Laxante Guttalax 7,5mg/ml 30ml;Consultar;Vera Cruz;47.22;44.86;47.22;Disponível
7896658005084;Nisulid Dispersível 100mg 12 comprimidos dispersíveis;Consultar;Vera Cruz;74.89;60.48;63.66;Disponível
7896331702828;Xarope Glyteol 200mg/15ml com Mentol 100ml;Consultar;Vera Cruz;28.68;19.08;20.08;Esgotado
7896094926653;Vabam 20mg 30 comprimidos revestidos;Consultar;Vera Cruz;190.72;181.18;63.57;Esgotado
7891721010026;Diclin 2mg + 0,035mg 21 comprimidos revestidos;Consultar;Vera Cruz;25.39;19.54;20.57;Disponível
7891058003210;Clexane 40mg/0,4ml 2 seringas preenchidas com 0,4ml com sistema de segurança;Consultar;Vera Cruz;178.78;107.00;56.32;Disponível
7896672201882;Bamifix 600mg 20 drágeas;Consultar;Vera Cruz;73.02;60.35;63.53;Disponível
7896637022866;Colchis 0,5mg 20 comprimidos;Consultar;Vera Cruz;56.40;23.58;24.82;Disponível
7897947612808;Lactolínea 667mg/ml Sabor Ameixa 120ml;Consultar;Vera Cruz;23.99;16.63;17.51;Disponível
7896672201493;Clenil Compositum A 400mcg/ml + 800mcg/ml 10 flaconetes com 2ml cada;Consultar;Vera Cruz;92.46;77.29;81.36;Disponível
7896181901372;Busonid Caps 400mcg Refil 60 cápsulas para inalação;Consultar;Vera Cruz;94.72;75.58;79.56;Disponível
7891142177056;Predsim 20mg 10 comprimidos;Consultar;Vera Cruz;40.42;33.79;35.57;Disponível
7896641808982;Dexilant 30mg Takeda 30 cápsulas de liberação retardada;Consultar;Vera Cruz;129.76;104.79;55.15;Disponível
7896112140931;Ibupril 300mg 20 comprimidos;Consultar;Vera Cruz;20.30;8.10;8.53;Disponível
7896026305259;Trayenta 5mg 30 comprimidos revestidos;Consultar;Vera Cruz;327.33;310.96;109.11;Disponível
7896016806261;Naldecon Noite 24 comprimidos;Consultar;Vera Cruz;60.99;49.25;51.84;Disponível
7896714219318;Antialérgico Xarope Histamin 2mg/5ml 100ml;Consultar;Vera Cruz;26.90;21.97;23.13;Disponível
7896212414468;Motilium 1mg/ml Suspensão Oral 100ml;Consultar;Vera Cruz;83.52;72.20;76.00;Esgotado
7896112432401;Pressat 2,5mg 30 comprimidos;Consultar;Vera Cruz;42.32;32.57;34.28;Disponível
7896658026508;Resist 500mg 90 cápsulas;Consultar;Vera Cruz;197.89;178.60;62.67;Disponível
7896026306416;Jardiance 10mg 30 comprimidos revestidos;Consultar;Vera Cruz;321.27;305.21;107.09;Disponível
7894916208154;Tropinal 20 comprimidos;Consultar;Vera Cruz;26.39;21.81;22.96;Disponível
7894916508971;Esomex 40mg 28 comprimidos revestidos;Consultar;Vera Cruz;104.00;98.80;52.00;Esgotado
7896714203492;Fluxon 75mg 30 comprimidos;Consultar;Vera Cruz;21.25;20.19;21.25;Disponível
7891058009458;Analgésico Dorflex Gotas 20ml;Consultar;Vera Cruz;27.55;23.56;24.80;Disponível
7896094999510;Nesina Pio 25mg + 30mg 30 comprimidos revestidos;Consultar;Vera Cruz;279.27;265.31;93.09;Esgotado
7896014669028;Metrexato 2,5mg 24 comprimidos;Consultar;Vera Cruz;42.41;29.01;30.54;Disponível
7891317025533;Trok 20mg/g + 0,64mg/g Pomada Dermatológico 10g;Consultar;Vera Cruz;20.05;17.15;18.05;Disponível
7896714265933;Neolefrin Neo Química 20 comprimidos;Consultar;Vera Cruz;19.97;12.89;13.57;Disponível
7891010256715;Tylenol 750mg 10 comprimidos revestidos;Consultar;Vera Cruz;24.59;18.22;19.18;Disponível
7899337000547;Protopic 0,1% Pomada Dermatológica 30g;Consultar;Vera Cruz;213.99;168.73;59.20;Esgotado
5413787041794;Zyxem 5mg 10 comprimidos revestidos;Consultar;Vera Cruz;79.55;63.48;66.82;Esgotado
7896637022408;Litocit 540mg 60 comprimidos de liberação prolongada;Consultar;Vera Cruz;68.80;56.21;59.17;Disponível
7896112422211;Novanlo 5mg 30 comprimidos;Consultar;Vera Cruz;153.09;116.35;61.24;Disponível
7896331706086;Gel Hidratante Intravaginal VagiSoft 30g + 10 Aplicadores Descartáveis;Consultar;Vera Cruz;55.90;47.79;50.31;Disponível
7896658011870;Flogoral 1,5mg/ml Sabor Laranja 250ml;Consultar;Vera Cruz;47.61;45.23;47.61;Esgotado
7896026302999;Spiriva Respimat 2,5mcg/dose 4ml + inalador Respimat (60 doses);Consultar;Vera Cruz;518.40;492.48;172.80;Disponível
7891142115775;Oximax 400mcg 30 cápsulas de pó para inalação + inalador;Consultar;Vera Cruz;113.75;86.45;91.00;Disponível
7896004753621;Bálsamo Bengué Pomada 60g;Consultar;Vera Cruz;48.15;39.34;41.41;Disponível
7891142177032;Predsim 5mg 10 comprimidos;Consultar;Vera Cruz;13.82;11.69;12.30;Disponível
7896094201002;Caltren 20mg 30 comprimidos;Consultar;Vera Cruz;163.82;122.95;64.71;Disponível
7896082900337;Sinustrat 9,0mg/ml Solução Nasal Forte 10ml;Consultar;Vera Cruz;23.66;18.20;19.16;Disponível
7896714291895;Picbam 2,5mg 60 comprimidos revestidos;Consultar;Vera Cruz;291.90;277.31;97.30;Esgotado
7896015518875;Avamys Spray Nasal 27,5mg 120 doses 9,1ml;Consultar;Vera Cruz;75.20;63.58;66.93;Disponível
7898133131066;Xarope Polaradex 100ml;Consultar;Vera Cruz;22.99;21.84;22.99;Esgotado
7891106002165;Gyno - Icaden Óvulo 600mg 1 óvulo + 1 dedeira;Consultar;Vera Cruz;117.83;111.94;58.92;Esgotado
7897930761414;Epiduo 1mg/g + 25mg/g Gel 30g;Consultar;Vera Cruz;142.65;113.84;59.92;Disponível
7896094208063;Minian 150mcg + 20mcg 63 comprimidos revestidos;Consultar;Vera Cruz;111.91;79.73;83.93;Disponível
7896206403409;Brilinta 90mg 60 comprimidos revestidos;Consultar;Vera Cruz;521.42;401.23;140.78;Disponível
7897316804742;Acular LS 4mg/ml Solução Oftálmica 10ml;Consultar;Vera Cruz;155.51;122.62;64.54;Disponível
7896212424269;Resolor 1mg 14 comprimidos revestidos;Consultar;Vera Cruz;165.07;144.27;50.62;Disponível
7896658003516;Decadron 0,5mg 20 comprimidos;Consultar;Vera Cruz;12.44;10.40;10.95;Disponível
7896015592356;Sal de Andrews Efervescente 1 envelope com 5g;Consultar;Vera Cruz;2.20;1.99;2.09;Disponível
7896637024020;Inibina 10mg 30 comprimidos;Consultar;Vera Cruz;169.96;150.16;52.69;Disponível
7891317003067;Tãmisa 15 60mcg + 15mcg 28 comprimidos revestidos;Consultar;Vera Cruz;30.25;23.28;24.50;Disponível
7894916500371;Penvir 500mg 21 comprimidos revestidos;Consultar;Vera Cruz;710.30;566.82;198.88;Disponível
7896083402557;Gamaline V 900mg 30 cápsulas moles;Consultar;Vera Cruz;184.01;155.58;54.59;Disponível
7896023793332;Melagrião Própolis e Gengibre Spray Sabor Limão 30ml;Consultar;Vera Cruz;21.99;16.71;17.59;Disponível
7891106904582;Qlaira Bayer 26 comprimidos ativos + 2 comprimidos inativos;Consultar;Vera Cruz;74.29;62.81;66.12;Disponível
7891721027437;Glifage 850mg 30 comprimidos revestidos;Consultar;Vera Cruz;40.81;32.18;33.87;Disponível
7898096577840;Arflex Retard 200mg 6 cápsulas de ação prolongada;Consultar;Vera Cruz;51.30;39.47;41.55;Disponível
7894916510240;OLMY ANLO - 20mg + 5mg, 30 comprimidos revestidos;Consultar;Vera Cruz;64.52;44.75;47.10;Esgotado
7891317103323;BetaTrinta 5mg/ml + 2 mg/ml Suspensão Injetável 1ml + seringa;Consultar;Vera Cruz;31.66;26.16;27.54;Disponível
7896548140581;Solução Oftálmica Patanol S 2,22mg/ml 2,5ml;Consultar;Vera Cruz;82.63;78.50;82.63;Esgotado
7894916515825;Vynaxa 20mg 28 Comprimidos Revestidos;Consultar;Vera Cruz;51.77;49.18;51.77;Esgotado
7896637033831;Zanidip 10mg 30 comprimidos revestidos;Consultar;Vera Cruz;153.93;119.91;63.11;Disponível
7895858015695;Leite de Magnésia Phillips Original  350ml;Consultar;Vera Cruz;36.80;31.11;32.75;Disponível
7896261012448;Diovan Amlo Fix 80mg + 5mg 28 comprimidos revestidos;Consultar;Vera Cruz;176.33;167.51;58.78;Esgotado
7891317009618;Neo B 100mg + 100mg + 5000mcg 60 comprimidos revestidos;Consultar;Vera Cruz;169.75;130.63;68.75;Disponível
7896004714295;Emistin 1mg/g + 0,05mg/g Creme Dermatológico 20g;Consultar;Vera Cruz;47.72;35.36;37.22;Disponível
