Produto Original,Total Unidades,Frequencia,Termo de Busca
"Loratadina 1mg/ml, Cimed 100ml",467.0,15,Loratadina Ml Cimed
"Vonau Flash 8mg, Sabor Menta 10 comprimidos de desintegração oral",466.0,15,Vonau Flash Sabor Menta De Desintegração Oral
Mirtax 5mg 30 comprimidos revestidos,465.0,13,Mirtax Revestidos
Stanglit 15mg 30 comprimidos,465.0,14,Stanglit
Mesacol 250mg 15 supositórios,464.0,16,Mesacol 15 Supositórios
Singulair 10mg 30 comprimidos,463.0,16,Singulair
Bravan Duo 160mg/5mg 30 comprimidos,459.0,14,Bravan Duo
Vitamina D3 Addera D3 50.000UI 10 comprimidos revestidos,458.0,14,Vitamina D3 Addera D3 50 000Ui Revestidos
Siblima 60mcg + 15mcg 24 comprimidos revestidos,458.0,14,Siblima Revestidos
Loxonin 60mg 30 comprimidos,458.0,15,Loxonin
Doss Zinco 2000UI + 20mg 60 cápsulas gelatinosas moles,458.0,14,Doss Zinco 2000Ui Gelatinosas Moles
Cefalium One 750mg 20 Comprimidos,457.0,13,Cefalium One
Piemonte10mg 30 comprimidos revestidos,457.0,14,Piemonte Revestidos
Calicida Solução ADV 10ml,456.0,15,Calicida Solução Adv
Microdiol 150mcg + 30mcg 21 comprimidos,456.0,14,Microdiol
Funtyl 250mg 14 comprimidos,455.0,16,Funtyl
Unoprost 2mg 30 comprimidos,455.0,16,Unoprost
"Imunoflan 307,39mg/ml Xarope 120ml",455.0,13,Imunoflan 307 Ml Xarope
Propranolol 10mg 30 comprimidos,455.0,14,Propranolol
"Press Plus 2,5mg + 10mg 30 cápsulas",454.0,15,Press Plus 2
"Iziz 2,5mg + 1,5mg 28 Comprimidos Revestidos",454.0,16,Iziz 2 1 Revestidos
"Dermosalic 0,5mg/ml + 20,0mg/ml 30ml",453.0,14,Dermosalic 0 Ml 20 Ml
Tâmisa 30 Sem Parar 75mcg + 30mcg 28 drágeas,453.0,13,Tâmisa 30 Sem Parar
"Nesina Met* 12,5mg + 1000mg 60 comprimidos revestidos",452.0,15,Nesina Met 12 Revestidos
Endofolin 5mg 30 comprimidos revestidos,451.0,14,Endofolin Revestidos
Tanakan 120mg 30 comprimidos revestidos,450.0,15,Tanakan Revestidos
Decongex Plus 4 comprimidos,449.0,15,Decongex Plus
Euthyrox 200mcg 50 comprimidos,449.0,16,Euthyrox
Diovan 160mg 28 comprimidos revestidos,448.0,14,Diovan Revestidos
Zyloric 100mg 30 comprimidos,448.0,15,Zyloric
Leite de Magnésia 80mg/ml Sem Sabor 120ml,448.0,13,Leite De Magnésia Ml Sem Sabor
DERMOMAX - 40mg/g 1 bisnaga com 5g de creme de uso dermatológico,447.0,14,Dermomax G 1 Bisnaga Com De Creme De Uso Dermatológico
Neosaldina 4 drágeas,446.0,13,Neosaldina
Tamiflu 75mg 10 cápsulas,446.0,15,Tamiflu
Primera 20 150mcg + 20mcg 63 comprimidos,445.0,14,Primera 20
Prostatal 160mg 30 cápsulas moles,445.0,14,Prostatal Moles
Solução Oftálmica Simbrinza 10mg/ml + 2mg/ml 8ml,444.0,15,Solução Oftálmica Simbrinza Ml Ml
Salonpas Air Aerosol 80ml,443.0,14,Salonpas Air Aerosol
Predsim 5mg 20 comprimidos,443.0,13,Predsim
Loratamed 10mg Cimed 12 comprimidos,443.0,16,Loratamed Cimed
Torsilax Neo Química 30 comprimidos,442.0,14,Torsilax Neo Química
Diosmin 450mg + 50mg 30 comprimidos revestidos,442.0,13,Diosmin Revestidos
"ARCALION - 200mg, 60 drágeas",442.0,14,Arcalion
Neutrofer Fólico 150mg + 5mg 30 comprimidos revestidos,441.0,13,Neutrofer Fólico Revestidos
Floralyte 45 Sabor Guaraná 500ml,441.0,14,Floralyte 45 Sabor Guaraná
"Embo 2,5mg 20 comprimidos revestidos",441.0,14,Embo 2 Revestidos
"Cutisanol 3mg/g + 1,5mg/g + 93,33mg/g Pó 150g",440.0,14,Cutisanol G 1 G 93 G Pó
Ondif 8mg 10 filmes,440.0,13,Ondif 10 Filmes
Vastarel MR 35mg 60 comprimidos de liberação prolongada,440.0,14,Vastarel Mr De Liberação Prolongada
Lonium 40mg 60 comprimidos revestidos,440.0,14,Lonium Revestidos
Zinpass 10mg 30 comprimidos revestidos,440.0,14,Zinpass Revestidos
"Tecnomet 2,5mg 20 comprimidos",439.0,14,Tecnomet 2
Somalgin Cardio 200mg 32 comprimidos revestidos de dupla camada,438.0,14,Somalgin Cardio Revestidos De Dupla Camada
Lotar 5mg + 50mg 30 cápsulas,438.0,13,Lotar
"Condroflex 1,5g + 1,2g 30 sachês com pó para solução oral",438.0,15,Condroflex 1 1 30 Sachês Com Pó Para Solução Oral
Miosan 5mg 10 comprimidos revestidos,438.0,13,Miosan Revestidos
Lactosil 10.000 FCC contém 30 Sachês 2g cada,437.0,14,Lactosil 10 000 Fcc Contém 30 Sachês Cada
Analgésico Tylenol 500mg 20 comprimidos revestidos,435.0,16,Analgésico Tylenol Revestidos
Neocopan Composto Gotas 10ml,435.0,14,Neocopan Composto Gotas
Doril Enxaqueca 4 comprimidos revestidos,435.0,16,Doril Enxaqueca Revestidos
Valtrex 500mg 42 comprimidos revestidos,435.0,14,Valtrex Revestidos
Cefaliv Aché 12 comprimidos,435.0,15,Cefaliv Aché
Lisador Dip 1g 8 comprimidos,435.0,13,Lisador Dip
Ecasil 81 81mg 90 comprimidos revestidos,434.0,16,Ecasil 81 Revestidos
Rosucor 10mg 30 comprimidos revestidos,433.0,14,Rosucor Revestidos
Maxsulid 400mg 10 Comprimidos,432.0,16,Maxsulid
"Xafac 2,5mg 30 comprimidos",432.0,15,Xafac 2
"Adinos 0,5mg/g Gel Creme 15g",432.0,13,Adinos 0 G Gel Creme
Glifage XR 850mg 30 comprimidos de liberação prolongada,431.0,14,Glifage Xr De Liberação Prolongada
Domped 5ml/ml Gotas 20ml,431.0,15,Domped Ml Gotas
Pomada Dermatológico Nebacetin 15g,431.0,14,Pomada Dermatológico Nebacetin
Complexo Homeopático Almeida Prado N 46 60 Comprimidos,431.0,14,Complexo Homeopático Almeida Prado N 46
Allurene 2mg 28 comprimidos,430.0,15,Allurene
"Hormoskin 40mg/g + 0,5mg/g + 0,1mg/g Creme Dermatológico 30g",429.0,13,Hormoskin G 0 G 0 G Creme Dermatológico
Sal de Frutas Eno Laranja 100g,428.0,14,Sal De Frutas Eno Laranja
Proctyl 50mg/g + 10mg/g Pomada 10 bisnagas com 3g cada + 10 aplicadores,428.0,15,Proctyl G G Pomada 10 Bisnagas Com Cada 10 Aplicadores
"Solução Nasal Maresis 0,9% Spray Jato Contínuo 100ml",428.0,13,Solução Nasal Maresis 0 9 Spray Jato Contínuo
Emulsão Sanasar 250mg/ml 100ml,428.0,13,Emulsão Sanasar Ml
Caltren 10mg 30 comprimidos,427.0,13,Caltren
Dermobene 10mg/ml 20ml,427.0,13,Dermobene Ml
Neo Fólico 5mg Neo Química 20 comprimidos revestidos,427.0,14,Neo Fólico Neo Química Revestidos
Esomex 40mg 56 comprimidos revestidos de liberação retardada,426.0,12,Esomex Revestidos De Liberação Retardada
"Pediderm 0,2mg/ml  Loção 100ml",426.0,14,Pediderm 0 Ml Loção
Diovan 320mg 28 comprimidos revestidos,426.0,13,Diovan Revestidos
Betadine XR 48mg 30 comprimidos,426.0,14,Betadine Xr
"Antialérgico Polaramine Xarope 0,4mg/ml Sabor de Frutas 120ml",426.0,14,Antialérgico Polaramine Xarope 0 Ml Sabor De Frutas
Antiácido Pó Efervescente Estomazil Sabor Sem Sabor 6 envelopes com 5g cada,426.0,15,Antiácido Pó Efervescente Estomazil Sabor Sem Sabor Com Cada
Neosaldina 20 drágeas,426.0,13,Neosaldina
"Colchis 0,5mg 30 comprimidos",426.0,16,Colchis 0
"Adacne 0,1% Gel 30g",425.0,15,Adacne 0 1 Gel
"Adoless 3 0,060mg + 0,015mg 84 comprimidos revestidos",424.0,13,Adoless 3 0 0 Revestidos
Diosmin SDU 900mg + 100mg Sabor Laranja / Limão 30 sachês com 5g cada,424.0,12,Diosmin Sdu Sabor Laranja Limão 30 Sachês Com Cada
Ad-Muc 100mg Pomada Bucal 10g,424.0,15,Ad Muc Pomada Bucal
Primera 30 150mcg + 30mcg 21 comprimidos,424.0,16,Primera 30
Solução Oftálmica Relestat 5mg/ml 5ml,423.0,14,Solução Oftálmica Relestat Ml
Ponstan 500mg 24 comprimidos,423.0,15,Ponstan
Valerimed 50mg 20 comprimidos revestidos,423.0,16,Valerimed Revestidos
Atroveran Dip 1g 20 comprimidos,423.0,14,Atroveran Dip
Xefo 8mg 30 comprimidos revestidos,423.0,14,Xefo Revestidos
Hirudoid 300 Gel 3mg/g 40g,423.0,15,Hirudoid El G
"Diprosone 0,5mg/ 30ml",422.0,13,Diprosone 0
Xarope Seki 120ml,422.0,14,Xarope Seki
Benegrip Multi Dia 20 comprimidos,422.0,12,Benegrip Multi Dia
Suplemento Hidroeletrolítico Sorox Sabor Limão 550ml,421.0,15,Suplemento Hidroeletrolítico Sorox Sabor Limão
Laxante Dulcolax 5mg 20 drágeas,421.0,15,Laxante Dulcolax
"Diovan HCT 160mg + 12,5mg Novartis 28 comprimidos revestidos",421.0,14,Diovan Hct 12 Novartis Revestidos
Zanidip 20mg 30 comprimidos,421.0,16,Zanidip
Ferronil 40mg 50 comprimidos revestidos,420.0,12,Ferronil Revestidos
Enavo 8mg 10 comprimidos EMS,420.0,16,Enavo Ems
Lisador Cólica 20 comprimidos revestidos,420.0,15,Lisador Cólica Revestidos
Nites 50mcg/automatizção Spray 120 dose 17ml,420.0,13,Nites Automatizção Spray 120 Dose
Creme de Arnica Cimed com Mentol 60g,420.0,14,Creme De Arnica Cimed Com Mentol
"Holmes H 40mg + 12,5mg 30 comprimidos revestidos",419.0,13,Holmes H 12 Revestidos
Respiratus 7mg/m Xarope Aroma Artificial de Cereja 100ml,419.0,15,Respiratus M Xarope Aroma Artificial De Cereja
Bravan 80mg 30 comprimidos revestidos,419.0,13,Bravan Revestidos
Eniagor 50mg/ml Solução Capilar 2 frascos 50ml cada,419.0,14,Eniagor Ml Solução Capilar 2 Frascos Cada
Castanha da Índia Atalaia 30 drágeas,418.0,14,Castanha Da Índia Atalaia
"Verrux 0,20g/ml + ,015ml/ml Solução 10ml",418.0,13,Verrux 0 Ml Ml Solução
Cebralat 100mg 60 comprimidos,417.0,12,Cebralat
"Belarina 2mg + 0,02mg 28 comprimidos revestidos",417.0,13,Belarina 0 Revestidos
Coltrax 4mg 20 comprimidos,417.0,15,Coltrax
Xarope Specdera Sabor Cereja 100ml,416.0,13,Xarope Specdera Sabor Cereja
Prolive 30 cápsulas,416.0,15,Prolive
Antiácido Pó Efervescente Estomazil Sabor Guaraná 5g,416.0,14,Antiácido Pó Efervescente Estomazil Sabor Guaraná
Viagra 50mg 2 Comprimidos,416.0,14,Viagra
Vitamina D Sof D 7.000 UI 8 cápsulas gelatinosas moles,415.0,14,Vitamina D Sof D 7 000 Ui Gelatinosas Moles
Ritmoneuran RTM Solução Oral 100ml,415.0,12,Ritmoneuran Rtm Solução Oral
Vynaxa 10mg 30 Comprimidos Revestidos,414.0,13,Vynaxa Revestidos
Camomila Composta Catarinense Solução Oral 150ml,414.0,13,Camomila Composta Catarinense Solução Oral
"Xalatan 50mcg/ml Colírio 2,5ml",414.0,15,Xalatan Ml Colírio 2
"Laxante Guttalax 7,5mg/ml 30ml",414.0,15,Laxante Guttalax 7 Ml
Nisulid Dispersível 100mg 12 comprimidos dispersíveis,414.0,16,Nisulid Dispersível Dispersíveis
Xarope Glyteol 200mg/15ml com Mentol 100ml,414.0,12,Xarope Glyteol Com Mentol
Vabam 20mg 30 comprimidos revestidos,414.0,14,Vabam Revestidos
"Diclin 2mg + 0,035mg 21 comprimidos revestidos",413.0,14,Diclin 0 Revestidos
"Clexane 40mg/0,4ml 2 seringas preenchidas com 0,4ml com sistema de segurança",413.0,13,Clexane 0 2 Seringas Preenchidas Com 0 Com Sistema De Segurança
Bamifix 600mg 20 drágeas,412.0,13,Bamifix
"Colchis 0,5mg 20 comprimidos",412.0,14,Colchis 0
Lactolínea 667mg/ml Sabor Ameixa 120ml,412.0,13,Lactolínea Ml Sabor Ameixa
Clenil Compositum A 400mcg/ml + 800mcg/ml 10 flaconetes com 2ml cada,412.0,14,Clenil Compositum A Ml Ml 10 Flaconetes Com Cada
Busonid Caps 400mcg Refil 60 cápsulas para inalação,411.0,15,Busonid Caps Refil Para Inalação
Predsim 20mg 10 comprimidos,411.0,12,Predsim
Dexilant 30mg Takeda 30 cápsulas de liberação retardada,411.0,13,Dexilant Takeda De Liberação Retardada
Ibupril 300mg 20 comprimidos,410.0,13,Ibupril
Trayenta 5mg 30 comprimidos revestidos,410.0,12,Trayenta Revestidos
Doss 7.000UI 30 cápsulas gelatinosas moles,410.0,14,Doss 7 000Ui Gelatinosas Moles
Naldecon Noite 24 comprimidos,410.0,13,Naldecon Noite
Antialérgico Xarope Histamin 2mg/5ml 100ml,410.0,14,Antialérgico Xarope Histamin
Motilium 1mg/ml Suspensão Oral 100ml,409.0,16,Motilium Ml Suspensão Oral
"Pressat 2,5mg 30 comprimidos",409.0,15,Pressat 2
Resist 500mg 90 cápsulas,409.0,13,Resist
Jardiance 10mg 30 comprimidos revestidos,409.0,15,Jardiance Revestidos
Tropinal 20 comprimidos,409.0,14,Tropinal
Esomex 40mg 28 comprimidos revestidos,408.0,13,Esomex Revestidos
Fluxon 75mg 30 comprimidos,408.0,13,Fluxon
Analgésico Dorflex Gotas 20ml,408.0,15,Analgésico Dorflex Gotas
Nesina Pio 25mg + 30mg 30 comprimidos revestidos,407.0,13,Nesina Pio Revestidos
"Metrexato 2,5mg 24 comprimidos",407.0,13,Metrexato 2
"Trok 20mg/g + 0,64mg/g Pomada Dermatológico 10g",407.0,15,Trok G 0 G Pomada Dermatológico
Neolefrin Neo Química 20 comprimidos,407.0,13,Neolefrin Neo Química
Tylenol 750mg 10 comprimidos revestidos,406.0,13,Tylenol Revestidos
"Protopic 0,1% Pomada Dermatológica 30g",406.0,12,Protopic 0 1 Pomada Dermatológica
Zyxem 5mg 10 comprimidos revestidos,406.0,13,Zyxem Revestidos
Bi-Profenid 150mg 10 comprimidos revestidos de liberação prolongada,406.0,14,Bi Profenid Revestidos De Liberação Prolongada
Litocit 540mg 60 comprimidos de liberação prolongada,406.0,16,Litocit De Liberação Prolongada
Novanlo 5mg 30 comprimidos,406.0,14,Novanlo
Gel Hidratante Intravaginal VagiSoft 30g + 10 Aplicadores Descartáveis,406.0,14,Gel Hidratante Intravaginal Vagisoft 10 Aplicadores Descartáveis
"Neocoflan 11,6mg/g Aerossol 85ml",405.0,14,Neocoflan 11 G Aerossol
"Flogoral 1,5mg/ml Sabor Laranja 250ml",405.0,13,Flogoral 1 Ml Sabor Laranja
"Spiriva Respimat 2,5mcg/dose 4ml + inalador Respimat (60 doses)",405.0,14,Spiriva Respimat 2 Dose Inalador Respimat 60 Doses
Oximax 400mcg 30 cápsulas de pó para inalação + inalador,405.0,14,Oximax De Pó Para Inalação Inalador
Bálsamo Bengué Pomada 60g,405.0,13,Bálsamo Bengué Pomada
Predsim 5mg 10 comprimidos,405.0,14,Predsim
Caltren 20mg 30 comprimidos,404.0,15,Caltren
"Sinustrat 9,0mg/ml Solução Nasal Forte 10ml",404.0,13,Sinustrat 9 Ml Solução Nasal Forte
"Picbam 2,5mg 60 comprimidos revestidos",404.0,17,Picbam 2 Revestidos
"Avamys Spray Nasal 27,5mg 120 doses 9,1ml",403.0,14,Avamys Spray Nasal 27 120 Doses 9
Xarope Polaradex 100ml,403.0,13,Xarope Polaradex
Gyno - Icaden Óvulo 600mg 1 óvulo + 1 dedeira,403.0,13,Gyno Icaden Óvulo 1 Óvulo 1 Dedeira
Epiduo 1mg/g + 25mg/g Gel 30g,403.0,16,Epiduo G G Gel
Minian 150mcg + 20mcg 63 comprimidos revestidos,402.0,13,Minian Revestidos
Brilinta 90mg 60 comprimidos revestidos,402.0,15,Brilinta Revestidos
Ibupril 100mg/ml Sabor Tutti-Frutti 20ml,402.0,13,Ibupril Ml Sabor Tutti Frutti
Acular LS 4mg/ml Solução Oftálmica 10ml,402.0,13,Acular Ls Ml Solução Oftálmica
Resolor 1mg 14 comprimidos revestidos,402.0,14,Resolor Revestidos
"Decadron 0,5mg 20 comprimidos",402.0,14,Decadron 0
Sal de Andrews Efervescente 1 envelope com 5g,402.0,14,Sal De Andrews Efervescente Com
Inibina 10mg 30 comprimidos,401.0,13,Inibina
Tãmisa 15 60mcg + 15mcg 28 comprimidos revestidos,401.0,14,Tãmisa 15 Revestidos
Penvir 500mg 21 comprimidos revestidos,401.0,14,Penvir Revestidos
Gamaline V 900mg 30 cápsulas moles,401.0,16,Gamaline V Moles
Melagrião Própolis e Gengibre Spray Sabor Limão 30ml,401.0,15,Melagrião Própolis E Gengibre Spray Sabor Limão
Qlaira Bayer 26 comprimidos ativos + 2 comprimidos inativos,401.0,14,Qlaira Bayer Ativos Inativos
Glifage 850mg 30 comprimidos revestidos,401.0,13,Glifage Revestidos
Arflex Retard 200mg 6 cápsulas de ação prolongada,400.0,16,Arflex Retard De Ação Prolongada
"OLMY ANLO - 20mg + 5mg, 30 comprimidos revestidos",400.0,14,Olmy Anlo Revestidos
BetaTrinta 5mg/ml + 2 mg/ml Suspensão Injetável 1ml + seringa,400.0,13,Betatrinta Ml Ml Suspensão Injetável Seringa
"Solução Oftálmica Patanol S 2,22mg/ml 2,5ml",400.0,14,Solução Oftálmica Patanol S 2 Ml 2
Vynaxa 20mg 28 Comprimidos Revestidos,400.0,12,Vynaxa Revestidos
Zanidip 10mg 30 comprimidos revestidos,399.0,14,Zanidip Revestidos
Leite de Magnésia Phillips Original  350ml,399.0,14,Leite De Magnésia Phillips Original
Diovan Amlo Fix 80mg + 5mg 28 comprimidos revestidos,399.0,14,Diovan Amlo Fix Revestidos
Neo B 100mg + 100mg + 5000mcg 60 comprimidos revestidos,399.0,14,Neo B Revestidos
"Emistin 1mg/g + 0,05mg/g Creme Dermatológico 20g",398.0,13,Emistin G 0 G Creme Dermatológico
Suplemento Hidroeletrolítico Sorox Sabor Uva 550ml,397.0,13,Suplemento Hidroeletrolítico Sorox Sabor Uva
Impere 10mg 30 comprimidos revestidos,397.0,14,Impere Revestidos
Ondif 4mg 10 filmes,397.0,13,Ondif 10 Filmes
Pradaxa 150mg 60 cápsulas,397.0,16,Pradaxa
Oto-Xilodase Gotas 8ml,397.0,14,Oto Xilodase Gotas
Sepurin 120mg + 20mg 20 drágeas,397.0,15,Sepurin
Tiorfan 10mg 18 sachês com 1g de granulado,396.0,14,Tiorfan 18 Sachês Com De Granulado
Propranolol 40mg 30 comprimidos,396.0,13,Propranolol
Suplemento Vitamínico Vitergan Zinco PL 30 comprimidos revestidos,395.0,15,Suplemento Vitamínico Vitergan Zinco Pl Revestidos
Dorilax DT 12 Comprimidos,395.0,13,Dorilax Dt
Regulador Intestinal 20 Bí 30 Cápsulas com 335mg,395.0,13,Regulador Intestinal 20 Bí Com
Previgrip Weleda 50ml,395.0,14,Previgrip Weleda
Puran T4 75mcg 30 comprimidos,395.0,17,Puran T4
Reuquinol 400mg 30 comprimidos revestidos,395.0,15,Reuquinol Revestidos
Glyxambi 10mg/ 5mg 30 Comprimidos Revestidos,395.0,13,Glyxambi Revestidos
Pomada Calotrat Plantar 200mg/g Kley Hertz 20g,394.0,15,Pomada Calotrat Plantar G Kley Hertz
Dexilant 30mg Takeda 60 cápsulas de liberação retardada,394.0,13,Dexilant Takeda De Liberação Retardada
Daonil 5mg 30 comprimidos,394.0,13,Daonil
Euthyrox 150mcg 50 comprimidos,394.0,13,Euthyrox
Miosan CAF 5mg + 30mg 15 comprimidos revestidos,393.0,16,Miosan Caf Revestidos
Transamin 250mg 12 comprimidos,393.0,12,Transamin
Lisador 24 comprimidos,393.0,13,Lisador
"Descongestionante Nasal Salsep 0,9% Spray 50ml",393.0,13,Descongestionante Nasal Salsep 0 9 Spray
Doril Enxaqueca 18 comprimidos revestidos,393.0,13,Doril Enxaqueca Revestidos
Vibral 30mg/ml Gotas 10ml,393.0,14,Vibral Ml Gotas
Belpele 3mg/g Gel 30g,393.0,15,Belpele G Gel
Zior 250mg 14 comprimidos,393.0,13,Zior
Nordette 150mcg / 30mcg 21 comprimidos revestidos,392.0,15,Nordette Revestidos
Ebatz 4mg 30 comprimidos revestidos,392.0,15,Ebatz Revestidos
Bramicar 80mg 30 comprimidos,392.0,14,Bramicar
Meticorten 5mg 20 comprimidos,392.0,13,Meticorten
Stanglit 15mg 60 comprimidos,392.0,14,Stanglit
Monaless 600mg 60 cápsulas gelatinosas moles,392.0,13,Monaless Gelatinosas Moles
Fluxon 25mg 30 comprimidos,391.0,15,Fluxon
Fenergan 50mg/2ml Solução Injetável 25 ampolas com 2ml cada,391.0,12,Fenergan Solução Injetável 25 Ampolas Com Cada
Xarope Leucogen Sabor Caramelo 120ml,391.0,13,Xarope Leucogen Sabor Caramelo
"Cardilol 3,125mg 30 comprimidos",391.0,13,Cardilol 3
"Solução Nasal Spray Maresis Ar 0,9% 100ml",391.0,14,Solução Nasal Spray Maresis Ar 0 9
Mirtax 10mg 15 comprimidos revestidos,391.0,13,Mirtax Revestidos
Folifolin 5mg EMS 30 comprimidos,391.0,13,Folifolin Ems
"Tantin 0,060mg + 0,015mg 84 comprimidos revestidos",390.0,15,Tantin 0 0 Revestidos
Pastilhas para Garganta Strepsils Sabor Mel e Limão 16 pastilhas,390.0,15,Pastilhas Para Garganta Strepsils Sabor Mel E Limão 16 Pastilhas
Procoralan 5mg 56 comprimidos revestidos,390.0,16,Procoralan Revestidos
Ibupril 400mg 10 comprimidos,390.0,12,Ibupril
Doril 6 comprimidos,390.0,12,Doril
"Exforge HCT 160mg + 12,5mg + 5mg 28 comprimidos revestidos",390.0,14,Exforge Hct 12 Revestidos
Óleo de Prímula 500mg Bionatus 45 Cápsulas,390.0,12,Óleo De Prímula Bionatus
Andriodermol 50ml,389.0,14,Andriodermol
Aspirina 500mg 10 comprimidos,389.0,14,Aspirina
Micardis 40mg 30 comprimidos,389.0,13,Micardis
Laxante L-Enema 130ml,389.0,13,Laxante L Enema
Solução Oftálmica Pilocarpina 2% 10ml,389.0,13,Solução Oftálmica Pilocarpina 2
Symbicort Spray 6/100 mcg 60 doses de pó de uso inalatório,388.0,14,Symbicort Spray 6 60 Doses De Pó De Uso Inalatório
Solução Nasal Naridrin Pediátrico 15ml,388.0,13,Solução Nasal Naridrin Pediátrico
Tormiv SL 10mg Sabor Limão 10 comprimidos sublinguais,388.0,14,Tormiv Sl Sabor Limão Sublinguais
Micardis Anlo 80mg + 5mg 30 comprimidos,388.0,15,Micardis Anlo
"Neovlar 0,25mg + 0,05mg 21 drágeas",388.0,14,Neovlar 0 0
Advantan 1mg/g Creme Dermatológico 15g,388.0,13,Advantan G Creme Dermatológico
Otiblock Spray 45ml,388.0,15,Otiblock Spray
"Belara 2mg + 0,03mg 21 comprimidos revestidos",388.0,13,Belara 0 Revestidos
Spray Ciflogex Sabor Menta 30ml,387.0,16,Spray Ciflogex Sabor Menta
"Ginesse 0,075mg + 0,02mg 63 comprimidos",387.0,13,Ginesse 0 0
"Candicort 20mg + 0,64mg Creme Dermatológica 30g",387.0,15,Candicort 0 Creme Dermatológica
Alivium Infantil 50mg/ml Sabor Tutti Frutti 30ml,387.0,13,Alivium Infantil Ml Sabor Tutti Frutti
"ICADEN - 10mg/mL, 1 frasco spray com 60mL de solução de uso dermatológico",387.0,13,Icaden Ml 1 Frasco Spray Com De Solução De Uso Dermatológico
Glyxambi 25mg + 5mg 30 comprimidos revestidos,387.0,14,Glyxambi Revestidos
Novanlo 5mg 90 comprimidos,386.0,12,Novanlo
Descongestionante Penetro 45ml,386.0,13,Descongestionante Penetro
Uniprazol 20mg 56 cápsulas,386.0,14,Uniprazol
Perivasc 450mg + 50mg 30 comprimidos revestidos,386.0,15,Perivasc Revestidos
Rusovas 10mg 60 comprimidos revestidos,386.0,15,Rusovas Revestidos
Diovan Amlo Fix 160mg + 10mg 28 comprimidos revestidos,385.0,14,Diovan Amlo Fix Revestidos
Benegrip 20 comprimidos revestidos,385.0,13,Benegrip Revestidos
"Acertanlo 3,5mg + 2,5mg 30 comprimidos",385.0,15,Acertanlo 3 2
