int64_field_0;venda_id;nome_produto;data_venda;quantidade
2748;18769;Trezor 40mg 30 Comprimidos Revestidos Aché;01-2024;
2789;34105;Diclofenaco Potássico 50mg 20 Comprimidos Genérico EMS;01-2024;
2810;51121;Levoid 125mcg 30 Comprimidos Aché;01-2024;
2905;63361;Revia 50mg 30 Comprimidos Revestidos Cristália (C1);01-2024;
2932;12421;Micardis Anlo Telmisartana 80mg + Besilato De Anlodipino 5mg Boehringer Com 30 Comprimidos;01-2024;
2957;58021;Trazodona 150mg Genérico Medley 30 Comprimidos (C1);01-2024;
2973;12133;Losartana Potássica 50mg Genérico Teuto 30 Comprimidos Revestidos;01-2024;
3030;45685;Fresh Tears Colírio Allergan 15ml;01-2024;
3056;4369;Condroflex 500mg + 400mg 90 Cápsulas;01-2024;
3289;2221;Loratadina Xarope 100ml Genérico EMS;01-2024;
3342;2665;Pomada Dermatológica Novacort 30g Ache;01-2024;
3578;22129;Metoclopramida 10mg 20 Comprimidos;01-2024;
3636;11773;Atensina 0,150mg 30 Comprimidos;01-2024;
3712;2965;Cetoconazol + Betametasona Pomada Dermatológica 30g Genérico Eurofarma;01-2024;
3767;34189;Nisulid Disp 12 comprimidos;01-2024;
3865;69057;Ganfort Solução Oftálmica 5ml;01-2024;
3904;14233;Runner EZE 10+10mg 60 Comprimidos Biosintética;01-2024;
3953;5041;Celestone 4mg 1x1ml Ampola Mantecorp Log d;01-2024;
3954;14365;Asea HCT 20+12,5mg 30 Comprimidos Revestidos Supera;01-2024;
3983;16573;Coledue-R 10mg + 20mg 30 Cápsulas Dura;01-2024;
4018;13921;Exforge HCT Valsartana 160mg + Hidroclorotiazida 12,5mg + Anlodipino 5mg 28 comprimidos;01-2024;
4305;3349;Pomada Kollagenase Com Cloranfenicol 15G Cristalia;01-2024;
4341;27817;Gelo-Bio Aerossol 150ml;01-2024;
4540;33253;Maxsulid 400mg 10 Comprimidos Farmasa;01-2024;
4582;7237;Dipropionato de Beclometasona 200Mcg Aerosol 200 Doses Genérico Glenmark;01-2024;
4588;4057;Novamox 875mg/125mg 20 Comprimidos;01-2024;
4595;67555;Neodia 1,5mg 1 Comprimido;01-2024;
4639;52729;Óleo Essencial Therapi 10ml Menta Piperita;01-2024;
4676;48445;Tiras para Controle de Glicemia OneTouch Select Plus 50+10 Unidades;01-2024;
4694;60925;BUP 150mg 30 Comprimidos Revestidos Eurofarma (C1);01-2024;
4718;15445;Diovan HCT 320mg + 25mg 28 Comprimidos FQM;01-2024;
4733;6625;Pomada Dermatológica Drenison 30g;01-2024;
4862;9853;Symbicort Turbuhaler 6+100mcg 60 Doses FQM;01-2024;
5100;62545;Bupropiona 150mg 30 Comprimidos Revestidos Genérico Prati-Donaduzzi (C1);01-2024;
5198;7009;Pomada Dermatológica Bactroban 10g;01-2024;
5519;49309;Pomada Fitoscar 60mg/g 50g Apsen;01-2024;
5522;11677;Novanlo 2,5mg 90 Comprimidos Biolab;01-2024;
5593;12985;Entresto 49mg/51mg 60 Comprimidos Revestidos;01-2024;
5813;23113;Naturetti Geleia 130g Hypera Pharma;01-2024;
5825;24109;Omeprazol 20mg 28 Cápsulas Genérico Teuto;01-2024;
5987;14077;Succinato De Metoprolol 100mg Astrazeneca Genérico 30 Comprimidos Revestidos;01-2024;
6104;24541;Irritratil 200mg 60 Cápsulas Gel Aché;01-2024;
6174;68289;Xarope Aires 20mg/ml 120ml Momenta;01-2024;
6185;39577;Cherry 2+0,03mg 21 Comprimidos Revestidos FQM;01-2024;
6348;5353;Formocaps 12mcg 30 Cápsulas+Inalador Biosintética;01-2024;
6381;36637;Etoricoxibe 60Mg 14 Comprimidos Genérico Neo Quimica (C1);01-2024;
6392;17725;Zart H 100+25mg 30 Comprimidos Eurofarma;01-2024;
6529;11293;Benicar HCT 40mg+12,5mg 30 Comprimidos Sankyo;01-2024;
6566;36721;Qlaira 26 + 2 Comprimidos Revestidos;01-2024;
6658;17041;Sinvascor 10mg 30 Comprimidos Baldacci;01-2024;
6727;8065;Bilastina 20mg 30 Comprimidos Genérico Eurofarma;01-2024;
6826;13525;Rosuvastatina 5mg 60 Comprimidos Genérico EMS;01-2024;
6870;15265;Renitec 5mg 30 Comprimidos Organon;01-2024;
7240;13237;Rosucor 20mg 60 Comprimidos Revestidos Torrent;01-2024;
7387;25993;Beneflora 6 Envelopes;01-2024;
7469;5893;Duoflam Injetável 12 Ampolas 1ml Supera;01-2024;
7486;25093;Digeliv 30 Sachês de 2g;01-2024;
7564;1477;Xarope Ebastel 60ml Eurofarma;01-2024;
7653;15313;Neo Fedipina 20mg 30 Comprimidos;01-2024;
7785;5641;Fostair Dpi Chiesi 200mcg + 6mcg 120 Doses;01-2024;
8015;1405;Furoato De Mometasona 1mg/g Genérico Medley Creme Dermatológico 20g;01-2024;
8045;5173;Praiva 400mg 7 Comprimidos Revestidos Eurofarma;01-2024;
8192;6013;Pen Ve Oral Supera 500 000 UI 12 Comprimidos;01-2024;
8212;7333;Aminofilina 200mg Genérico Teuto 20 Comprimidos;01-2024;
8314;24985;Glicel 6 Unidades Supositório Adulto Bras Terapêutica;01-2024;
8347;37897;Diane 35 2mg/0,035mg 21 Drágeas;01-2024;
8349;27277;Targus Lat Adesivos Transdérmicos 10 Unidades;01-2024;
8353;8041;Claritromicina 500mg 10 Comprimidos Revestidos Genérico Pharlab;01-2024;
8355;11569;Naprix 10mg 90 Comprimidos Libbs;01-2024;
8424;15757;Runner EZE 20+10mg 60 Comprimidos Biosintética;01-2024;
8652;1609;Pulmicort 0,25mg 5 Frascos FQM;01-2024;
8674;34441;Cetorolaco Sublingual 10mg 20 Comprimidos Genérico União Química;01-2024;
8818;46897;Stanglit Libbs 15mg 60 Comprimidos;01-2024;
8835;43417;Marevan 5mg 30 Comprimidos FQM;01-2024;
8875;51421;Synthroid 175mcg 30 Comprimidos Abbott;01-2024;
8917;51145;Puran T4 12,5mcg 30 Comprimidos Sanofi;01-2024;
8932;4705;Ceftriaxona Injetável Genérico Eurofarma 500mg 2ml IM;01-2024;
9026;4249;Montelair 10mg 60 Comprimidos Revestidos Aché;01-2024;
9033;757;Betatrinta 5mg/ml + 2 mg/ml 1 Ampola + 1 Suspensão injetável;01-2024;
9123;6469;Sinot Clav 875/125mg 20 Comprimidos Revestido Eurofarma;01-2024;
9128;59821;Exodus 10mg 30 Comprimidos Revestidos Aché (C1);01-2024;
9164;44053;Klev 10mg 30 Comprimidos;01-2024;
9198;57961;Olanzapina 10mg 30 Comprimidos Revestidos Genérico Geolab (C1);01-2024;
9299;3241;Monax 0,5mcg Spray Nasal 120 doses;01-2024;
9324;26341;Levty 8 Comprimidos Mastigáveis Ache;01-2024;
9350;61945;Zolpidem 5mg 30 Comprimidos Sublinguais Genérico Althaia (B1);01-2024;
9393;16369;Diltiazem 30mg 50 Comprimidos Genérico EMS;01-2024;
9450;10933;Zinpass Eze 40mg/10mg 30 Comprimidos Revestidos;01-2024;
9503;56425;Vacina Pentavalente Infanrix DTPA HIB IPV Injetável Frasco + Seringa 0,5 ml GSK + Aplicação;01-2024;
9911;4801;Seretide 50mcg + 500mcg 60 Doses;01-2024;
9926;69392;Diva 20 (24+4) Comprimidos  Exeltis;01-2024;
9974;68910;Cronocor 25mg 30 Comprimidos Biolab;01-2024;
10084;53017;OsCal Cálcio+ 500mg 60 Comprimidos;01-2024;
10095;2389;Pomada Topison 1mg 20g Libbs;01-2024;
10235;69593;Novalgina 1G 2 Comprimdos Efervecentes Opella Avulso;01-2024;
10332;985;Flutinol 1mg/ml frasco 5ml;01-2024;
10382;58297;Roxetin XR 25mg 30 Comprimidos Revestidos Supera (C1);01-2024;
10400;2953;Celestone Soluspan 1x1ml Ampola Mantecorp;01-2024;
10429;41485;Melagrião Spray 30ml Menta Catarinense;01-2024;
10480;63073;Donepezila 10mg 30 Comprimidos Revestidos Genérico Torrent (C1);01-2024;
10570;1669;Artrolive 30 Cápsulas Ache;01-2024;
10585;56977;Topiramato 25mg 60 Comprimidos Revestidos Genérico EMS (C1);01-2024;
10614;25333;Leite de Magnésia Eno Magno Sachê 10ml Tradicional GSK Avulso;01-2024;
10732;47209;Janumet XR 50+1000mg 60 Comprimidos Revestidos Merck;01-2024;
10869;16789;Olmy 40mg 30 Comprimidos Revestidos Germed;01-2024;
11062;3001;Prednisolona 20mg Genérico Althaia 10 Comprimidos;01-2024;
11111;14101;Ramipril 5mg 30 Comprimidos Genérico Medley;01-2024;
11163;59809;Alenthus XR 37,5mg 30 Cápsulas Cellera (C1);01-2024;
11275;27241;Lisador Dip 1g 20 Comprimidos;01-2024;
11459;23317;Digeliv Apsen 400FCC 30 Comprimidos Mastigáveis;01-2024;
11804;16429;Clortalidona 50mg 30 Comprimidos Genérico EMS;01-2024;
11807;1441;Fluir 12mcg 60 Cápsulas Inalatórias;01-2024;
11882;69036;Humectol D 5mg/60mg 20 Comprimidos Revestidos;01-2024;
11938;7669;Axetil Cefuroxima 250mg 70ml Genérico Ranbaxy;01-2024;
12276;17461;Benicar ODT 40mg 30 Comprimidos Sankyo;01-2024;
12363;40309;Diva 3 + 0,03Mg 21 Comprimidos Exeltis;01-2024;
12377;54445;Dipropionato de Betametasona + Fosfato Dissódico de Betametasona Injetável Genérico Eurofarma;01-2024;
12400;55873;Wegovy 0,5mg 1,5ml Novo Nordisk;01-2024;
12408;9553;Amoxilina + Clavulanato 400mg 70ml Policlavamoxil EMS;01-2024;
12476;60589;Pregabalina 150mg 30 Cápsulas Genérico Eurofarma (C1);01-2024;
12494;23281;Fontelax 10g + 3g Pó Oral 13,4g 30 Sachês;01-2024;
12535;22177;Provance Imune 10ml Gotas Aché;01-2024;
12539;49489;Tadalafila 20mg 2 Comprimidos Revestidos Genérico EMS;01-2024;
12571;32953;Ciclobenzaprina 10mg 30 Comprimidos Revestidos Genérico EMS;01-2024;
12599;24901;Hidralis Sais 45 4 Envelopes Framboesa Airela;01-2024;
12645;60949;Desduo 100mg 30 Comprimidos Revestidos Liberação Prolongada Torrent (C1);01-2024;
12716;56257;Impere 10mg 30 Comprimidos Revestidos EMS;01-2024;
12719;21697;LuftaGastro Sachê Líquido - 12 Sachês de 10ml;01-2024;
12739;11461;Rosuvastatina Genérico Cimed 10mg 30 Comprimidos;01-2024;
12772;49177;HPMix 40mg 125ml Suspensão Oral + Seringa Dosadora Aché;01-2024;
12818;53917;Perosteo KM 30 Tabletes Mastigáveis Eurofarma;01-2024;
12844;9193;Tamiram Eurofarma 500mg 3 Comprimidos Revestidos;01-2024;
12904;1285;Dexclorfeniramina Xarope 120ml Genérico EMS;01-2024;
12984;15205;Seloken 100mg 30 Comprimidos;01-2024;
13016;27061;Novalgina 1G 10 Comprimidos Dipirona;01-2024;
13017;6457;Creme Dipropionato de Betametasona + Sulfato de Gentamicina 30g Genérico EMS;01-2024;
13036;52741;Arnica Do Mato Spray 150ml As Ervas Curam;01-2024;
13073;7225;Mefex 250mg 10 Comprimidos Revestidos Aché;01-2024;
13240;39781;Siblima 0,015mg/0,060mg 24 Comprimidos Revestidos;01-2024;
13248;40261;Allestra 15 0,015+0,06mg 84 Comprimidos Revestidos Aché;01-2024;
13406;6493;Drenison Loção Capilar Biolab 0,5% 30ml;01-2024;
13469;41113;Maresis Baby Spray;01-2024;
13707;18409;Cedur Retard 400Mg 30 Comprimidos Roche;01-2024;
13765;47401;Gliclazida 60mg Genérico EMS 60 Comprimidos;01-2024;
13790;40321;Clotrigel Creme 2% 20g Glenmark;01-2024;
13859;21085;Esogastro IBP EMS 14 Cartelas + 14 Comprimidos;01-2024;
13995;52861;Floral Therapi Mais Humor 30ml;01-2024;
14110;53497;Betrat 5000mcg+100+100mg 90 Comprimidos Revestidos;01-2024;
14140;53137;Glicosamina 30 Sachês Genérico Nova Química;01-2024;
14214;60217;Assert 50mg 30 Comprimidos Revestidos;01-2024;
14243;24169;Alcachofra 20 Comprimidos Revestidos Herbarium;01-2024;
14271;52429;Gamax 30 Cápsulas Hebron;01-2024;
14408;24661;Peridal 10mg 30 Comprimidos;01-2024;
14535;11029;Naprix 5mg 90 Comprimidos Libbs;01-2024;
14549;6037;Levoxin 750mg 5 Comprimidos Revestidos Apsen;01-2024;
14618;13009;Press Plus 2,5mg/10mg 30 Cápsulas Duras;01-2024;
14623;11341;Metildopa Genérico EMS 250mg 30 Comprimidos;01-2024;
14668;46345;Ganfort Solução Oftálmica 5ml;01-2024;
14838;47149;Glink Met 2,5mg + 500mg 60 Comprimidos Revestidos Libbs;01-2024;
14948;10837;Rosuvastatina 20mg 30 Comprimidos Genérico Cimed;01-2024;
14981;45361;"Epigel Gel 10g Bausch &amp; Lomb";01-2024;
15069;35941;Cimecort Creme Dermatológico 30g;01-2024;
15214;62461;Gaba ER 250mg 30 Comprimidos Eurofarma (C1);01-2024;
15229;32125;Novalgina 1G 2 Comprimdos Efervecentes Opella Avulso;01-2024;
15356;55981;Biomag 15mg 30 Cápsulas Aché (B2);01-2024;
15447;22045;Rubenti 200mg 60 Cápsulas Duras;01-2024;
15817;34417;Diclofenaco Sódico 100mg Genérico EMS 20 Comprimidos Revestidos;01-2024;
15912;16153;Angipress 50mg 30 Comprimidos Aché;01-2024;
16047;10081;Clavulin Es 600Mg 100Ml Gsk;01-2024;
16098;36397;Pentasa 2g 30saches Ferring;01-2024;
16205;7417;Alergomine 120ml Cimed;01-2024;
16245;52681;Curc AOX+ 60 Comprimidos Revestidos Mantecorp;01-2024;
16294;37021;Tâmisa 30 0,75mg/0,30mg 84 Drágeas;01-2024;
16396;12397;Bramicar 80mg 60 Comprimidos Sigma Pharma;01-2024;
16490;53677;Arava 20mg 30 Comprimidos Revestidos Aventis (C1);01-2024;
16814;52297;Motore 250mg 60 Comprimidos Ache;01-2024;
16840;51673;Floral Kids Therapi 30ml Tranquilito;01-2024;
17339;67285;Coledue-R 10mg + 20mg 30 Cápsulas Dura;01-2024;
17447;19153;Coledue-R 10+5mg 30 Cápsulas Duração Hypera Pharma;01-2024;
17461;27433;Dipirona Sódica 500mg Genérico Prati 10 Comprimidos;01-2024;
17568;11221;Venzer 8mg 30 Comprimidos;01-2024;
17627;64981;Carlit XR 450mg 30 Comprimidos Supera (C1);01-2024;
17687;16225;Posicor Sin 10mg+20mg 30 Comprimidos Biolab;01-2024;
17770;46909;Insulina Humulin N Ui100 2Ref 3Ml Lilly;01-2024;
17771;41557;Naldecon Noite 4 Comprimidos;01-2024;
17777;31909;Musculare 5mg 15 Comprimidos Revestidos;01-2024;
17985;21337;Mylicon Suspensão Oral 15ml;01-2024;
18186;13297;Bravan Duo 160+5mg 30 Comprimidos Revestidos Aché;01-2024;
18213;16777;Rusovas 20mg COM 30 Comprimidos Revestidos Germed;01-2024;
18286;16249;Olsar 20mg 30 Comprimidos Revestidos;01-2024;
18306;51889;Floral Therapi Calmim 30ml;01-2024;
18462;50653;Euprostatin 2mg 30 Comprimidos Sigma-Pharma;01-2024;
18546;38821;Climene Genom 2+2+1mg 21 Drágeas;01-2024;
18664;19585;Olmetec 40Mg 30 Comprimidos Pfizer;01-2024;
18805;26557;Motilium 100Ml Janssen-Cilag;01-2024;
18857;51457;Levoid 200mcg 30 Comprimidos Aché;01-2024;
18982;67952;Mitrul 15Mg 5 Cápsulas Adium;01-2024;
19037;18121;Aradois HCT 50+12,5mg 60 Comprimidos Revestidos Biolab;01-2024;
19143;19177;Olmy 20mg 60 Comprimidos Revestidos Germed;01-2024;
19330;22081;Provance Mini 30 Sachês Ache;01-2024;
19371;28429;Spray de Própolis Mel Gengibre 35ml;01-2024;
19748;69221;Bicarbonato de Sódio 100g;01-2024;
19893;60829;Coglive 16mg 30 Cápsulas Dura Liberação Prolongada Liberação LIBBS (C1);01-2024;
19914;63601;Deciprax 10mg 30 Comprimidos Revestidos Mantecorp (C1);01-2024;
20077;12841;Tartarato de Metoprolol 100mg 30 Comprimidos Revestidos Genérico Biolab;01-2024;
20541;13861;Clortalidona Genérico EMS 12,5mg 60 Comprimidos;01-2024;
20554;14425;Trezor 5mg 60 Comprimidos Revestidos Aché;01-2024;
20626;21145;Vonau Flash 4mg 10 Cápsulas Menta Biolab;01-2024;
20700;63349;Lune 10mg 30 Comprimidos Revestidos Mantecorp (B1);01-2024;
20705;62401;Urbanil 10mg 20 Comprimidos;01-2024;
20963;71552;Pentasa 1g 28Sup Ferring;01-2024;
21055;28945;Miogesic Lis 125+5mg com 15 Comprimidos EMS;01-2024;
21167;51829;Floral Thérapi Bach Thérapi 30ml;01-2024;
21198;54433;Triazol 150mg 4 Cápsulas Biolab;01-2024;
21425;60241;Sonic 100mg 30 Comprimidos Eurofarma (C1);01-2024;
21445;34069;Cetoprofeno 20mg/ml Genérico Teuto Solução Oral 20ml;01-2024;
21738;20821;ProHN 50mg com 30 Cápsulas;01-2024;
21758;16105;Monocordil 40mg 30 Comprimidos Baldacci;01-2024;
21795;18133;Dacxi 20mg 28 Comprimidos Revestidos Biolab;01-2024;
21919;52441;Óleo Essencial Therapi Alecrim 10ml;01-2024;
21929;24277;Domperidona 10mg 30 Comprimidos Genérico EMS;01-2024;
22264;43345;Hirudoid 500 Gel 90g Sankyo;01-2024;
22475;44509;Vynaxa 15mg 28 Comprimidos Revestidos;01-2024;
22899;36877;Ciclo 21 0,15mg/0,03mg 21 Comprimidos;01-2024;
22986;17281;Selozok Fix 5+50mg 30 Comprimidos AstraZeneca;01-2024;
23122;36493;Nisulid 15ml Gotas Aché;01-2024;
23130;32089;Toperma 30 Emplastros Grunenthal;01-2024;
23285;60613;Bromazepam 6mg 30 Comprimidos Genérico Biosintética (B1);01-2024;
23339;45949;Timoptol-Xe 0,5% 5m Mundipharma;01-2024;
23369;22273;Luftal Gel 20 Cápsulas Reckitt;01-2024;
23400;34681;Ciclobenzaprina 5mg 15 Comprimidos Revestidos Genérico Biosintética;01-2024;
23644;17809;Trezor 5mg 30 Comprimidos Revestidos Aché;01-2024;
23650;36349;Coltrax 4Mg 20 Comprimidos Aventis;01-2024;
23801;18097;Vasopril Plus 20mg+12,5mg 30 Comprimidos Biolab;01-2024;
23892;17077;Atenolol Genérico EMS 50mg 30 Comprimidos;01-2024;
23972;24673;Flagass 125Mg 10 Cápsulas Ache;01-2024;
24009;43069;Lixiana 30mg 30 Comprimidos Revestidos;01-2024;
24488;64885;VeePi 500mg 30 Comprimidos Torrent (C1);01-2024;
24630;64057;Antara 100mg/mg Solução 150mg Eurofarma (C1);01-2024;
24912;62521;Pazine 315mg 30 Comprimidos Arese;01-2024;
25002;31261;Combfix 37,5/325mg 10 Comprimidos Biosintética (A2);01-2024;
25159;47737;Glimepirida 1mg 30 Comprimidos Genérico EMS;01-2024;
25162;39421;Junno FQM 200mg 14 Comprimidos;01-2024;
25424;28465;Pomada Gelo-Bio 20g União Química;01-2024;
25473;29917;Zyptan 10mg 8 Comprimidos Zydus;01-2024;
25737;50845;Androgel Gel Transdérmico 50mg 10mg/g 30 Envelopes de 5g;01-2024;
25767;20857;Estomazil Abacaxi 462mg + 90mg + 438mg, envelope com 5g de pó Efervescente;01-2024;
25962;30421;Pralivio 100mg 20ml Cimed;01-2024;
26189;53725;Velus Magnésio 30 Comprimidos;01-2024;
26489;28705;Novalgina Dipirona  Dor e Febre 500mg 30 Comprimidos;01-2024;
26572;34369;Mesacol 800mg 30 Comprimidos Revestidos;01-2024;
26683;29881;Gesico Duo 37,5mg + 325mg 10 Comprimidos Revestidos Eurofarma (A2);01-2024;
26697;28117;Dorflex Analgésico e Relaxante Muscular 300mg + 35mg + 50mg Sanofi 24 Comprimidos;01-2024;
26764;21265;Ácido Ursodesoxicólico 300mg 30 Comprimidos Genérico EMS;01-2024;
26811;37513;Systen 50mcg/dia 8 Adesivos Theramex;01-2024;
27039;49441;Tadalafila 5mg Genérico Medley 30 Comprimidos Revestidos;01-2024;
27095;44545;Eliquis 2,5mg 20 Comprimidos;01-2024;
27124;61141;Clopixol Depot 200mg 1ml Lundbeck (C1);01-2024;
27129;23209;Gaeso 20mg 28 Comprimidos Revestidos de Liberação Retardada Aché;01-2024;
27285;63577;Escilex 20Mg 30 Comprimidos Revestidos Sigma Pharma (C1);01-2024;
27414;45877;Tobracin Solução Oftálmica 0,3% 5ml Latinofarma;01-2024;
27564;60193;Insit 100mg 30 Cápsulas Apsen (C1);01-2024;
27616;45961;Travatan Bak-Free 2,5Ml Colirio Novartis;01-2024;
27640;30757;Benziflex Lis 125mg/5mg 15 Comprimidos Revestidos;01-2024;
27674;19273;Iccor 1,25mg 30 Comprimidos Revestidos Torrent;01-2024;
28013;33277;DexaCitoneurin NFF Solução Injetável 3 Ampolas de 1ml + Diluente 3 Ampolas de 2ml;01-2024;
28049;68685;Maracujá Herbarium 20 comprimidos;01-2024;
28082;67842;Press Plus 2,5mg/10mg 30 Cápsulas Duras;01-2024;
28102;43789;Inibina 10Mg 20 Comprimidos Apsen;01-2024;
28179;49825;Tansulosina 0,4mg 30 Comprimidos Genérico EMS;01-2024;
28253;34657;Miosan Caf 5mg/30mg 15 Comprimidos Revestidos;01-2024;
28393;39145;Diminut 0,075mg/0,02mg 21 Comprimidos Revestidos;01-2024;
28551;37993;Perola 75mg 84 Comprimidos;01-2024;
28578;52657;Maracujá Herbarium 20 comprimidos;01-2024;
28928;48865;Isotretinoína 20mg 30 Cápsulas Genérico EMS (C2);01-2024;
29144;21205;Minilax 714mg/g + 7,70mg/g Pediatrico 7 Bisnagas;01-2024;
29149;32257;Magnopyrol Farmasa 10ml;01-2024;
29189;57013;Concerta 36mg 30 Comprimidos Revestidos;01-2024;
29256;41905;Ambroxmel Adulto Xarope 120ml;01-2024;
29262;34393;Toarip 10mg 30 Comprimidos Torrent (C1);01-2024;
29387;28741;Advil 400mg 16 Cápsulas Moles;01-2024;
29388;22717;Luftal 40mg 20 Comprimidos Reckitt;01-2024;
29421;21865;Bicarbonato de Sódio 100g;01-2024;
29564;22093;Humectol D 5mg/60mg 20 Comprimidos Revestidos;01-2024;
29615;32797;Citoneurin Complexo B 60 Cápsulas Procter;01-2024;
29821;51385;Syntocinon Spray Mylan 5ml;01-2024;
30048;47917;Soliqua Insulina 30-60 Solostar 3Ml Sanofi;01-2024;
30449;57181;Reconter 20mg 60 Comprimidos Revestidos;01-2024;
30496;64105;Zapsy 30mg 30 Comprimidos Revestidos Prati RX (C1);01-2024;
30577;62869;Succinato De Desvenlafaxina Monoidratado 100mg Genérico EMS 30 Comprimidos Revestidos (C1);01-2024;
30732;63745;Aquarela 10mg 30 Comprimido Biosintética (C1);01-2024;
30947;60277;Serenata 100mg 30 Cápsulas Torrent (C1);01-2024;
30972;65089;Alprazolam 0,25mg 30 Comprimidos Genérico EMS (B1);01-2024;
31256;70547;Hidralis Sais 45 4 Envelopes Framboesa Airela;01-2024;
31458;25033;Duspatalin 200mg 30 Cápsulas;01-2024;
31547;38305;Belarina 2mg/0,02mg 24 + 4 Comprimidos;01-2024;
31807;33985;Bicerto 150mg 10 Comprimidos Eurofarma;01-2024;
31985;43933;Somalgin Cardio 200mg 32 Comprimidos Revestidos Sigma;01-2024;
32069;63121;Gabapentina 400mg 30 Cápsulas Genérico Prati (C1);01-2024;
32131;66364;Captopril 25mg Genérico Prati 30 Comprimidos;01-2024;
32219;60169;Zider 10mg 120 Comprimidos Revestidos Libbs (C1);01-2024;
32428;29173;Cefalium One 750mg 20 Comprimidos Revestidos;01-2024;
32930;35089;Alginac 5000 3 Ampolas Injetável Procter;01-2024;
33174;37429;Diclin 2mg/0,035mg 21 Comprimidos Revestidos;01-2024;
33179;23101;Sucrafilm 200mg Suspensão Oral 200ml EMS;01-2024;
33225;57193;Serenata 100mg 60 Comprimidos Revestidos;01-2024;
33321;29161;Spidufen 600mg + 555mg Menta 3g 10 Envelopes;01-2024;
33605;39037;Cicloprimogyna 21 Comprimidos Bayer;01-2024;
33794;40657;Maxidrate Gel Nasal 30g;01-2024;
34547;67791;Ginkgo 80mg 30 Cápsulas;01-2024;
34668;25825;Nitazoxanida Genérico EMS Suspensão Oral 20mg/ml 100ml;01-2024;
34888;39025;Neodia 1,5mg 1 Comprimido;01-2024;
35462;47389;Novolin R Penfil 100ui/Ml 5x3ml Novo Nor;01-2024;
35584;68368;Nisulid Disp 12 comprimidos;01-2024;
