Produto;Quantidade_Total;Frequencia_Vendas
Brinco Studex Supermaxxi Pedra Branca Prata 1 Par;483.0;15
Refil para Escova Elétrica Oral-B Flossaction 2 Unidades;482.0;17
Atorvastatina Cálcica 20mg Genérico Legrand 30 Comprimidos;481.0;15
Ezetimiba 10mg Genérico Hypermarcas 30 Comprimidos;480.0;14
Aparelho de Barbea Enox Clássico 1 Unidade;479.0;15
Spray Knut Multiuso Amino Color  200ml;479.0;15
Aparelho de Barbear Gillette Prestobarba3 Fresh com Eucalipto 4 Unidades;477.0;13
Chá Gaab Mom To Mom 30sch 45g;477.0;15
Bombom de chocolate ao leite sabor com recheio de cereja sem álcool 55g - Montevergine;475.0;18
Shampoo Anticaspa Head & Shoulders Limpeza Eficaz 400ml;475.0;13
Fralda Ever Baby Pants Roupinha XXG 24 Unidades;475.0;15
Gran D 22.400UI Cristália 1 Comprimido;474.0;14
Creme Hidratante Nivea Soft 48g;474.0;15
Unhas Postiças Curta Autocolante Quadrada Pintada Absolute New York Magiquick Cappuchino Brown 24 Unidades;474.0;15
Cera Quente em Barra Negra - Depil Bella - 500g;474.0;15
Maxilerg 1mg/ml Cristália 5ml Solução Oftálmica;473.0;14
Januvia 25mg MSD 28 Comprimidos;473.0;14
Barra sabor Flocos com Chocolate Chips 90g - Darkness Dark Bar;471.0;17
Bebida Ades A Base de Amêndoas Sabor Baunilha 1L;469.0;16
Bolsa Refrigerada para Transporte de Insulina Frigo Wellion;468.0;15
Predsim 40mg Mantecorp Farmasa 7 Comprimidos Revestidos;467.0;14
Prednisona 20mg Genérico Germed 10 Comprimidos;467.0;16
Loção Hidratante Corporal Creamy Calming 200 g;466.0;16
Shampoo Johnson's Baby Cheirinho Prolongado 400ml;466.0;14
Desduo 100mg  Torrent 30 Comprimidos;466.0;14
Lenço Umedecido Pampers Aloe Vera 48 Unidades;465.0;15
Vitamina D Dprev 100.000UI Myralis 2 Comprimidos Revestidos;465.0;15
Gel Pós Depilatório Finalizador - Depi Roll - 120g;465.0;14
Kit Viagem Ever Care Compacto 1 Unidade;465.0;15
Condicionador Pantene Pro-V 3 Minutos Milagrosos Restauração 170ml;464.0;15
Carvedilol 6,25mg Genérico Biosintética 30 Comprimidos;463.0;14
Hidratante Labial Chupa Chups The Skin Soul Tutti Fruitti 10g;463.0;14
Absorvente Always Noturno Tamanho G Cobertura Seca 8 Unidades;463.0;16
Furoato de Mometasona 1mg/g Genérico EMS 20g Creme;463.0;13
Gel Dental 50gr Infantil - Ice Fresh;462.0;13
Lápis de Olhos Retrátil Marrom Escuro Marília Mendonça By Océane - Eyeliner Dark Brown 1,2g;462.0;16
Amoxicilina 875mg + Clavulanato de Potássio 125mg Genérico Legrand 14 Comprimidos;462.0;15
Ciclopirox Olamina 10mg/ml Genérico Medley 15ml Solução Tópica;462.0;14
Gel de Banho Giovanna Baby Moments Blanc Vanilla 250ml;461.0;14
Conduvaz 450mg + 50mg Mabra 30 Comprimidos;461.0;16
Aquasept Foam - Espuma Antisséptica - 150 Ml;461.0;14
Chocolate Prestígio Nestlé 33g;460.0;17
Kit Caneta Delineadora + Máscara Para Cílios Drama Lash Océane Edition (2 Produtos);460.0;16
Refresco em pó sabor laranja docinha com 18g - Tang;460.0;13
Shampoo Dove Baby Hidratação Enriquecida 200ml;459.0;15
Condicionador Infantil Seda Juntinhos Frozen Brilho Encantado 300ml;459.0;14
Água Micelar Hidramais Ácido Hialurônico 250ml;459.0;15
Carvedilol 3,125mg Genérico Biosintética 30 Comprimidos;459.0;15
Spray Depilatório Depilsam Men Corpo Aerosol 150Ml;459.0;15
Batom Líquido Matte Eudora Niina Secrets Skinny Pink Peônia 5  ml;458.0;14
Protetor Solar Sundown Praia e Piscina FPS50 200ml;458.0;15
Lápis De Sobrancelhas Essence Eyebrow Designer 2 Marrom 1g;458.0;14
Escova para Desembaraçar Tangle Teezer The Original Preto;456.0;13
Folifer 30mg/ml + 0,2mg/ml Arese 30ml Gotas;456.0;14
Aria 5mg Momenta 30 Comprimidos Mastigáveis;456.0;13
Minoxidil 10%  Propilenoglicol - 60Ml;456.0;13
Bactrim 400mg + 80mg Farmoquímica 20 Comprimidos;456.0;13
Bauny Efeito Matte - Base Facial Vegana 27g - Matte Cor 060;455.0;14
Kit Lenço Umedecido Infantil Huggies Recém Nascido Sem Fragrância 4 Pacotes com 48 Unidades;455.0;15
Pantoprazol 40mg Genérico Medley 28 Comprimidos;454.0;16
Óleo Corporal De Ameixa Farmax 100ml;454.0;14
Divalproato de Sódio 500mg Genérico Zydus 20 Comprimidos;454.0;14
Kit Garnier SkinActive Água Micelar Tudo Em 1 400ml + Gel Facial Uniform & Matte Vitamina C 150ml;453.0;13
Pincel de Silicone - Skincare Silicone Brush Océane;453.0;14
Hastes Flexíveis Ever Care 75 Unidades;453.0;13
Argila Rosa com Pó de Turmalina 30g - Elemento Mineral;452.0;14
Lenço Umedecido Huggies Recém Nascido Sem Fragrância 48 Unidades;452.0;13
Mamadeira MAM Fashion Bottle Girls 330mL - 4834;452.0;15
Dicloridrato De Betaistina 24mg Genérico Geolab 30 Comprimidos;452.0;14
Payot Boca Rosa Beauty Wow! - Pó Solto Iluminador;452.0;14
Azitromicina Di-Hidratada 500mg Genérico Medquímica 5 Comprimidos;451.0;14
Nistatina 100.000UI/ml Genérico Prati Donaduzzi 50ml Suspensão Oral;451.0;13
Leite em Pó Molico Adulto Zero Lactose 260g;451.0;15
Sabonete em Barra Protex Baby Suave Glicerina 85g;451.0;14
Océane Eyeliner Pen Mariana Saad by Océane Caneta Delineadora 1,8g - RealBlue-MarianaSaad;451.0;17
Sinvasmax 40mg Globo 30 Comprimidos;450.0;14
Bico Mamadeira Chicco Step Up Fluxo Rápido 6M+ 2 Unidades;450.0;15
Olmecor 20mg Torrent 30 Comprimidos;450.0;14
Zyloric 300mg Aspen Pharma 30 Comprimidos;450.0;14
Mix de Farinhas Sem Glúten - Mundo Verde 500g;450.0;14
Suplemento Proteico Líquido Integralmedica My Whey Banana Zero Lactose 250ml;449.0;14
Endrostan 70mg Cellera 4 Comprimidos;449.0;14
Pomada  Para Dermatite De Fralda - 50 Gramas;449.0;15
Chocolate Bis Lacta Chocolate Branco 100,8g;449.0;13
Refil Para Escova Interdental Curaprox Cilíndrico Cps 09 8 Unidades;448.0;15
Creme Depilatório Depimiel Sensitive Facial Sistema A + B Óleo de Argan 45g;448.0;16
Oxalato De Escitalopram 20mg Genérico Nova Química 30 Comprimidos Revestidos;448.0;13
Pill Food 60 Cápsulas;447.0;16
Levotiroxina Sódica 200mcg Genérico Merck S/A 30 Comprimidos;447.0;15
Lipstick Dermage Hyaluage 10g;447.0;15
Energético Red Bull Energy Drink The Summer Edition Morango & Pêssego 250ml;447.0;14
Kit Esponjas de Maquiagem Flat Drop + Special Diamond Blend (2 Produtos);447.0;15
Desloratadina 5mg Genérico Eurofarma 10 Comprimidos;447.0;14
Maleato de Enalapril 5mg Genérico Biolab 30 Comprimidos;446.0;13
Lenços de Papel Elite Softys C/ 50 Folhas;446.0;16
Rivotril 2,0mg Roche 20 Comprimidos;446.0;13
Bolsa Para Água Quente Redonda com Capa 800ml - UniqCare;446.0;15
Ampola para Nutrição Wella Professionals Invigo Nutri Enrich 10 ml;446.0;13
Sombra Em Bastão Essence Blend & Line 01 Copper Feels 1,8g;445.0;15
Lápis para Sobrancelha Maybelline Master Shape Pencil Brow;445.0;15
Doce de Leite Zero Flormel 20g;445.0;15
Divelol 25mg Baldacci 30 Comprimidos;445.0;15
Dry 5mg Cristália 30 Comprimidos;445.0;15
Gelatina 500mg 60 Cápsulas;444.0;13
Protetor solar em cápsulas Polypodium leucotomos  250 mg 60 Cápsulas BS Pharma;444.0;14
Kit Dove Reconstrução Completa Shampoo 400ml + Condicionador 400ml;444.0;14
Fórmula Infantil Aptamil Premium 1 400g;444.0;13
Montelucaste de Sódio 10mg Genérico Aché 30 Comprimidos Revestidos;444.0;13
Arflex Retard 200mg Diffucap 6 Cápsulas;443.0;13
Barra de Cereais Nutry Castanha-de-Caju Com Chocolate 22g;443.0;15
Base Líquida Aveludada Bruna Tavares BT Skin D20 40 ml;443.0;15
Topiramato 100mg Genérico Eurofarma 60 Comprimidos;443.0;15
Frontal 0,25mg Pfizer 30 Comprimidos;443.0;15
Preservativo Prudence Masculino Lubrificado Super Sensitive 8 Unidades;443.0;13
Predsim 3mg/ml Cosmed 60ml;443.0;14
Mamadeira Lillo Tamanho 2 Azul 240ml;442.0;14
Superfood Mix Berries Desidratado Mundo Verde Seleção 150g;442.0;13
Escova Dental Curaprox Ultra Soft CS5460B Cores Sortidas;442.0;15
Fio Dental Com Cera Dental Clean Menta 130m;441.0;14
Carbamazepina 200mg Genérico União Química 30 Comprimidos;441.0;16
Atelop 2,5mg Brace Pharma 30 Comprimidos;440.0;14
Chocolate 5star Lacta 40g;440.0;15
Preservativo Prudence Efeito Retardante 8 Unidades;440.0;14
Bauny - Lápis Delineador para Olhos 1,10g - Bege;440.0;14
Máscara de Tratamento Dove Ritual de Reparação em 1 Minuto 500g;440.0;14
Bouquet (Blend) Incenso 5ml - Laszlo;440.0;15
Refresco em pó sabor laranja com 18g - Tang;439.0;14
Algodão Em Bolas Cremer 95g;439.0;14
Ster Md 1,2mg/ml União Química 10ml Suspensão Oftálmica;439.0;14
Propionato de Clobetasol 0,5mg/g Genérico Germed 30g Pomada;439.0;13
Paratram 37,5mg + 325mg Adium 20 Comprimidos;439.0;13
Motix 301,5mg Farmoquímica 50 Comprimidos;438.0;13
Buprovil 600mg Multilab 30 Comprimidos;438.0;13
Spray Brilho  Acqua Kids Marshmallow - Nazca -  110ml;437.0;15
Pó Solto Matte Fran by Franciny Ehlke Solto Plush 3 15 g;437.0;16
Finasterida 5mg Genérico Legrand 30 Comprimidos Revestidos;437.0;13
Gel Hidratante Pós-Sol Argila Anasol - 200g;437.0;15
Benicar Anlo 40mg + 10mg Daiichi Sankyo 30 Comprimidos;436.0;15
Unhas Postiças Curta Autocolante Quadrada Pintada Absolute New York Magiquick Wine Red 24 Unidades;435.0;15
Ivermectina 6mg Genérico Vitamedic 2 Comprimidos;435.0;14
Synthroid 25mcg Abbott 30 Cápsulas;435.0;15
Enxak 451mg Cazi 12 Comprimidos;435.0;15
Óleo Capilar Niely Gold Com Coco 100ml;434.0;14
Absorvente Intimus® Tripla Proteção Suave C/Abas 16 Unidades;434.0;13
Chocolate M&M's Amendoim 148g;434.0;18
Esponja Belliz Make Up Duo 360º;434.0;15
Metronidazol 400mg Genérico Teuto 24 Comprimidos;434.0;14
Retoque de Raiz L'Oréal Paris Spray Instantâneo Magic Retouch Castanho Escuro 75ml;434.0;13
Kit Pasta de Dente Sensodyne Rápido Alívio Dentes Sensíveis Original 3 Unidades de 90g;434.0;14
Benicar Anlo 40mg + 5mg Daiichi Sankyo 30 Comprimidos;434.0;14
Bico de Silicone Neopan Pansuper 1 Unidade;433.0;15
Axetilcefuroxima 250mg Genérico Ranbaxy 50ml;433.0;15
Cera Fria Corporal Veet Peles Normais e Secas 12 Folhas;433.0;15
Belpele 1mg/g Melora 50g Gel Dermatológico;433.0;14
Luva Massageadora Corporal Com Esferas Acte R23;433.0;16
Água Micelar Garnier SkinActive Antioleosidade Vitamina C 400ml;433.0;13
Leite em Pó Ninho Integral Instantâneo Lata 380g;433.0;15
Cloridrato Propranolol 40mg Genérico Neo Química 30 comprimidos;433.0;12
Colírio Drusolol 20mg/ml + 5mg/ml União Química 5ml;432.0;14
Pantoprazol 20mg Genérico Medley 28 Comprimidos;432.0;17
Creme Para as Mãos Nivea Hand 3 em 1 Reparação Nutrição 75g;432.0;13
Bamifix 300mg Chiesi 20 Drágeas;432.0;14
Máscara Facial de Limão e Hortelã - Lemon And Mint Mask 8g Océane;432.0;15
Secnidazol 1000mg Genérico Pharlab 2 Comprimidos;432.0;15
Cílios Postiços I-Envy Collection 156 Crush 3D 1 Unidade;431.0;15
Gel Hidratante Pós- Sol Aloe Vera e Calêndula 140g - Khor Cosmetics;431.0;14
Unhas Postiças Curta Autocolante Quadrada Pintada Absolute New York Magiquick Magic Black 24 Unidades;431.0;13
Hidroclorotiazida 25mg Genérico Neo Química 30 Comprimidos;431.0;14
Gel Dental Infantil Bitufo Cocoricó Sem Flúor Sabor Tutti-Frutti 90g;431.0;13
Kit Pasta de Dente Colgate Total Clean Mint 4 unidades de 90g;431.0;13
Kios 640mg Quesalon 14 Comprimidos;431.0;12
Retoque Instantâneo Spray Koleston Castanho Claro 100ml;431.0;15
Byphasse Fleur de Tiaré de Tahiti - Gel de Banho 500ml;430.0;13
Delineador Líquido Matte À Prova D'Água Essence Lash Princess Liner Preto 3 ml;430.0;14
Base Em Mousse Essence Soft Touch 03 Matt Honey 16g;430.0;17
Azelan Gel 150mg/g LEO Pharma 1 Bisnaga com 30g;430.0;15
Protetor Solar Hidratante Labial Nivea Sun Protect Alta Proteção FPS 30 4,8g;429.0;13
Tegretol Cr 200mg Novartis 60 Comprimidos;429.0;14
Pincel Duo Para Corretivo e Base Corpus;429.0;14
Losartana Potássica 50mg Genérico Germed 30 Comprimidos Revestidos;428.0;16
Cílios Postiços Longo Natural Absolute New York Magiquick 605 Preto 1 Par;428.0;14
Batom Líquido Matte Essence 8h Matte 04 Rosy Nude 2,5ml;428.0;13
Pé de Moleque Pacote 1,5Kg - Gulosina;428.0;14
Kit Lenço Umedecido Ever Baby Sem Perfume 4 pacotes 48 Unidades;427.0;16
Barra de cereal Castanha de caju com chocolate com 22g - NUTRY;427.0;15
Escova de Língua Bitufo Hálito Puro;427.0;13
Pyr-Pam 10mg/ml Uci-Farma 40ml Suspensão Oral;427.0;15
Cílios Postiços Kiss New York Lash Couture Naked Drama Tulle 1 Par;427.0;14
Chá Leão Mel, Gengibre e Cúrcuma 10 Sachês;426.0;15
Corus 50mg Biosintética 30 Comprimidos Revestidos;426.0;14
Escova para Mamadeiras e Bicos Philips Avent - SCF145/06 - Azul;425.0;14
Bauny Efeito Matte - Base Facial Vegana 27g - Matte Cor 010;425.0;15
Colírio Oflox 0,30% Allergan 5ml;425.0;13
Bicarbonato 15 Sachês 600g Menta - Schuster;425.0;13
Aparelho de Depilar Gillette Venus Suave Sensitive 4 Unidades;425.0;13
Ampola Capilar de Hidratação e Reparação 15ml Océane;425.0;13
Pastilha Valda Diet Menta e Eucalipto Sem Açúcar;424.0;13
Toragesic SL 10mg EMS 10 Comprimidos Sublingual;424.0;15
Paramonoclorofenol Canforado 20ml - Biodinâmica;424.0;15
Rosuvastatina Cálcica 10mg Genérico Althaia 60 Comprimidos Revestidos;424.0;16
Kit Renu Fresh (bausch + Lomb) - Kit Renu Fresh (Bausch + Lomb);424.0;14
Diclofenaco Sódico 50mg Genérico Medley 20 Comprimidos;423.0;13
Leite em Pó Ninho Integral Instantâneo 575g;423.0;15
Prednisolona 5mg Genérico Althaia 20 Comprimidos;423.0;13
Dramin 50mg Cosmed 10 Cápsulas;423.0;16
Cloridrato de Sertralina 50mg Genérico Cimed 30 Comprimidos;422.0;14
Bruna Tavares BT Skinpowder - Pó Solto Facial Deep 15g;422.0;13
Seloken 100mg Astrazeneca 30 Comprimidos;422.0;13
Cinarizina 25mg Genérico Mepha 30 comprimidos;422.0;13
Sinvascor 40mg Baldacci  30 Comprimidos;422.0;16
Óleo Corporal Hidratante Farmax Semente de Uva 100ml;422.0;13
Cera Depilatória P/ Microondas Depilsam Cremosa Mel 100g;421.0;15
Cloridrato De Ciprofloxacino 3,5mg/ml + Dexametasona 1mg/ml Genérico Geolab 5ml Solução Oftálmica;421.0;16
Pó Descolorante Aloe Vera e Silicone - Amend - 300g;420.0;13
Roll-on de Lavanda e Eucalipto Radiata Narizinho Infantil Iarê 10ml - Terraflor;420.0;14
Narcaricina 100mg Sinterapico 30 Comprimidos;420.0;15
Fio Dental GUM Flosser Ultra Deslizante Sabor Menta 40 Unidades;420.0;14
Chocolate Garoto Talento Branco Crocante Com Doce De Leite 85g;420.0;12
Mamadeira Mam Easy Start Azul 130ml 1 Unidade;420.0;13
Creme Antisséptico Para Os Pés - 100Gr;420.0;13
Kit Lenço de Papel de Bolso Kleenex Dia a Dia 4 Unidades;420.0;14
Alphabrin 1,0ml/mg Geolab 5ml;419.0;14
Tracta Vanessa Rozan - Batom Bala;419.0;15
Creme Hidratante Nivea Lata 29g;419.0;14
Etna 1mg + 2,5mg + 1,5mg Gross 3 Diluentes 2ml Injetável + 3 Ampolas Solução;419.0;13
Fórmula Infantil Nestogeno 2 800g;419.0;14
Pincel Para Acabamento Mariana Saad By Océane Ms3;419.0;15
Retoque de Raiz L'Oréal Paris Spray Instantâneo Magic Retouch Preto 75ml;419.0;15
Sabonete Líquido Infantil Baruel Baby Glicerina Da Cabeça Aos Pés Refil 210ml;418.0;12
Shampoo Dove Baby Hidratação Glicerinada 200ml;418.0;14
Removedor de Esmaltes Ever Care Hipoalergênico 100ml;418.0;15
Bolsa Térmica Natural Grande;418.0;16
Bicarbonato Polident 15 Sachês 40g Morango - Polident;418.0;12
Mamadeira Lolly Kinddy Branca Star 330ml;418.0;15
Gel Para Barbear Giovanna Baby GB Men 180g;417.0;14
Amoxicilina 500mg + Clavulanato De Potássio 125mg Genérico Ranbaxy 14 Comprimidos Revestidos;417.0;14
Cloridrato Hidroxizina 2mg/ml Genérico Germed 120ml Solução Oral;417.0;14
Piranha para Cabelo Ever Care Tradicional 1 Unidade;417.0;12
Citoneurin 100mg/mL + 100mg/mL + 5000mcg/mL P&G 3 Ampolas Injetáveis de 1ml;417.0;14
Annita 20mg/ml Farmoquímica 100ml Suspensão;417.0;15
Losartana Potássica 100mg + Hidroclorotiazida 25mg Genérico Legrand 30 Comprimidos;417.0;14
Sombra e Iluminador em Pó 2x1 Bruna Tavares BT Marble Doucrome Gold 5 g;417.0;13
Colírio Flutinol 1mg/ml Latinofarma 5ml;416.0;14
Gracial 0,25mg + 0,005mg Organon 22 Comprimidos;416.0;14
Levotiroxina Sódica 50mcg Genérico Merck S/A 30 Comprimidos;416.0;13
Creme Para Pentear Seda Cachos Definidos 300ml;416.0;15
Refil Para Escova Interdental Curaprox Cilíndrico Cps 06 8 Unidades;416.0;15
Esponja Splum Vegetal Oval Atoalhada Santa Maria;416.0;13
Base Líquida Aveludada Bruna Tavares BT Skin T30 40 ml;416.0;15
LENÇO DE PAPEL ELITE SOFTY'S MÁXIMA SUAV 75 FLS;416.0;13
Manteiga Ghee com Trufas Natural Dom Afonso 200g;416.0;14
Loção Hidratante Johnson's Baby Recém-Nascido 200ml;416.0;13
Chá Desinchá 60 Unidades;416.0;14
Ampola de Hidratação Capilar Imecap Hair Max Antiqueda e Reparação FQM 15ml;416.0;14
Barra Proteica Mini Chocolate Belga 25g - Dobro;415.0;15
Bombom Ouro Branco Lacta 21,5g;415.0;17
Escova de Dente Sensodyne Multiproteção com Cerdas Macias para Dentes Sensíveis;415.0;15
Creme para Pentear Huggies Kids Enrolados Nutrição e Força 360ml;415.0;14
Lapiseira Delineadora Para Os Olhos Vult Fun Roxo Diversão 350mg;415.0;17
Barra de Nuts Mãe Terra Coco 25g;415.0;14
Farinha de Linhaça Dourada Mundo Verde Seleção 200g;415.0;13
Celebra 100mg Viatris 20 Cápsulas;414.0;13
Presília para Cabelos Tic Tac Zalike Estampado Shiinning 6 Unidades;414.0;13
Massageador Facial - 3d Facial Roller Océane;414.0;14
Lenço Umedecido Baby Aloe Vera Ever Care 96 Unidades;414.0;14
Besilato de Anlodipino 5mg Genérico Geolab 30 Comprimidos;414.0;14
Drospirenona 3mg + Etinilestradiol 0,03mg Genérico Legrand 21 Comprimidos;414.0;13
Clotrimazol 20mg/g Genérico Germed 20g Creme Vaginal + 3 Aplicadores;414.0;16
Grampo Para Cabelo Moreno Número 7 Corpus;413.0;15
Preservativo Olla Lubrificado 8 Unidades;413.0;13
Tanderalgin 125mg + 50mg + 300mg + 30mg Cellera 15 Comprimidos;413.0;13
Removedor De Esmalte Sem Acetona Ever Care 100ml;413.0;14
Kollagenase Com Cloranfenicol 0,6U/g + 0,01g/g Cristália 15g Pomada;413.0;13
Pingo de Leite Tradicional Pote com 50 unidades - Jazam;413.0;14
Fio Dental 100M - Hillo;413.0;13
Grampo para Cabelo Ever You N5 Dourado 50 Unidades;412.0;13
Pregabalina 150mg Genérico Nova Química 30 Cápsulas;412.0;14
Sinvasmax 20mg Globo 30 Comprimidos;412.0;15
Barra De Proteína Nutrata Whey Grego Dulce De Leche Havanna & Morango 40g;412.0;16
Maca Peruana Vitalab 60 Cápsulas;412.0;15
Vitamina D Sany D 10.000UI Aché 4 Comprimidos;412.0;17
Fórmula Infantil Aptamil Premium 2 800g;412.0;15
Pressat 5mg Biolab 90 Comprimidos;412.0;13
Vizzela Brow & Lash - Serum Para Cilios E Sobrancelha 3g;411.0;12
Máscara Capilar de Tratamento Dove Bond Intense Repair 250g;411.0;13
Sombra e Iluminador em Pó 2x1 Bruna Tavares BT Marble Doucrome Glam Copper 5 g;411.0;14
Vertigium 10mg Neo Química 50 Comprimidos;411.0;13
Ceci 2mg + 1mg Libbs 28 Comprimidos;411.0;13
Depakene 50mg/ml Abbott 100ml Xarope;411.0;12
Gel Fixador Eudora Kids Poder Congelante 100ml;411.0;14
Spray Finalizador Cicatriliss - Nazca - 110ml;410.0;15
Olmesartana Medoxomila 20mg Genérico Althaia 30 Comprimidos;410.0;15
Condicionador Tresemmé Brilho Lamelar 650ml;410.0;14
Timoptol 5mg/ml Mundipharma 5ml Solução Oftálmica;410.0;13
Pastilha Mentos Morango Acido Zero Açúcar Kiss Sour 55 Unidades;410.0;14
Primosiston 2mg + 0,01mg União Química 30 Comprimidos;410.0;13
Gel Fixador Bozzano Ação Prolongada Mega Forte Fixação 4 Bisnaga 150g;410.0;13
Kit Aparelho Para Depilar Bic Soleil Lavanda e Eucalipto 3 Unidades + 2 Desodorante Nivea Invisible Black&White 150ml;409.0;12
Piroxicam 20mg Genérico Germed 15 Cápsulas;409.0;13
Adoçante Linea Sucralose 75ml Grátis 25ml;409.0;13
Suplemento Alimentar Líquido Reign Lemon HDZ 473ml;409.0;13
Esponja Splum Vegetal Pedaço Pequeno Cor Santa Maria;409.0;13
Zitromax 500mg Pfizer 2 Comprimidos Revestidos;408.0;14
Mari Maria Creamy Matte - Batom Liquido 4ml - Lavish;408.0;13
Shampoo Seda Recarga Natural Pureza Detox 325ml;408.0;14
Cetobeta 20mg/g + 0,5g/g + 2,5mg/g Cellera 30g Pomada;407.0;12
Shampoo Anticaspa Head & Shoulders Men 3 em 1 200ml;407.0;12
Bala de Gengibre Ever Nutri com Canela 40g;407.0;13
Albendazol 400mg Genérico Cimed 1 Comprimido Mastigável;407.0;15
Conjunto para Cabelo Soft Kuka Azul 7257;407.0;14
Kit Sabonete Em Barra Dove Original 90g 6 Unidades;407.0;14
Chá Verde (Green Tea) 500mg 60 Cápsulas Vegan;407.0;13
Óleo Essencial de Artemísia Annua 5ml;407.0;15
Chocolate Galak ao Leite 90g;407.0;16
Adoçante Líquido Zero-Cal Stévia 80ml;407.0;13
Citobê 5000mcg + 100mg + 100mg Momenta Pharma 30 Comprimidos;406.0;12
Reconter 10mg Libbs 60 Comprimidos Revestidos;406.0;16
Bromoprida 10mg Genérico Medley 20 Cápsulas;406.0;15
Unhas Postiças Média Autocolante Quadrada Pintada Absolute New York Magiquick Magic Black 24 Unidades;406.0;12
Sabonete Líquido Lux Botanicals Buquê de Jasmim Refil 200ml;406.0;14
Finasterida 1mg Genérico Legrand 30 Comprimidos Revestidos;406.0;15
Kit Pantene Restauração Shampoo 350ml + Condicionador 175ml;406.0;14
Atelop 2,5mg Brace Pharma 60 Comprimidos;406.0;15
