Produto;Quantidade_Total;Frequencia_Vendas;Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
Trileptal 6% suspensão 100ml Novartis (C1);293.0;13;São João;7894916500746.0;Sucrafilm Suspensão Oral 10ml;Disponível;116,57;97,79;-16.1%;97,79;-16.1%;Medicamentos > Estômago E Gastrointestinais > Gastrite E Úlcera;1000319.0;https://www.saojoaofarmacias.com.br/sucrafilm-suspensao-oral-10ml-1000319/p
Rohypnol 1mg 30 Comprimidos Revestidos;293.0;12;São João;7894916515764.0;Vynaxa 10mg 30 Comprimidos Revestidos;Disponível;52,75;52,75;-0.0%;52,75;-0.0%;Medicamentos > Sistema Circulatório > Trombose;10027148.0;https://www.saojoaofarmacias.com.br/vynaxa-10mg-30-comprimidos-revestidos-10027148/p
Siblima 0,015mg/0,060mg 72 Comprimidos Revestidos;293.0;15;São João;7897460401422.0;Silimalon 100mg/70mg 30 Comprimidos Revestidos;Disponível;80,87;80,87;-0.0%;80,87;-0.0%;Medicamentos > Estômago E Gastrointestinais > Azia E Refluxo;100022477.0;https://www.saojoaofarmacias.com.br/silimalon-100mg-70mg-30-comprimidos-revestidos-100022477/p
Candicort Pomada Aché 30g;293.0;12;São João;7896714230504.0;Massageol Pomada 30g;Disponível;19,90;19,90;-0.0%;19,90;-0.0%;Medicamentos > Anti-inflamatórios;5193.0;https://www.saojoaofarmacias.com.br/massageol-pomada-30g-5193/p
Meloxicam 15mg 10 Cápsulas Genérico EMS;293.0;13;São João;7896004710679.0;Meloxicam Genérico EMS 15mg 10 Cápsulas;Disponível;41,71;18,59;-55.4%;18,59;-55.4%;Medicamentos > Anti-inflamatórios;1006913.0;https://www.saojoaofarmacias.com.br/meloxicam-generico-ems-15mg-10-capsulas-1006913/p
Anlodipino Genérico Medley 5mg 30 Comprimidos;293.0;12;São João;7896004703305.0;Anlodipino Genérico EMS 5mg 30 Comprimidos;Disponível;33,86;7,99;-76.4%;7,99;-76.4%;Medicamentos > Cardiológicos > Pressão Alta;994181.0;https://www.saojoaofarmacias.com.br/anlodipino-generico-ems-5mg-30-comprimidos-994181/p
Meritor 4+1000mg 30 Comprimidos Revestidos Aché;293.0;12;São João;7500435260541.0;Alginac 1000 30 Comprimidos Revestidos Procter;Disponível;74,62;64,29;-13.8%;64,29;-13.8%;Medicamentos > Anti-inflamatórios;12322.0;https://www.saojoaofarmacias.com.br/alginac-1000-30-comprimidos-revestidos-procter-12322/p
Bramicar HCT 80mg+12,5mg 30 Comprimidos Sigma Pharma;293.0;14;São João;7894916510011.0;Bramicar HCT 80mg+12,5mg 30 Comprimidos Sigma Pharma;Disponível;106,25;106,25;-0.0%;106,25;-0.0%;Medicamentos > Cardiológicos > Pressão Alta;10003191.0;https://www.saojoaofarmacias.com.br/bramicar-hct-80mg-12-5mg-30-comprimidos-sigma-pharma-10003191/p
Symbicort Suspensão Inalatória 120 Doses + Valvula Dosadora;293.0;12;São João;7898560664137.0;Dymista Suspensão Spray Inalatória 23g;Disponível;154,46;126,99;-17.8%;126,99;-17.8%;Medicamentos > Alergias E Infecções > Rinite E Sinusite;100013366.0;https://www.saojoaofarmacias.com.br/dymista-suspensao-spray-inalatoria-23g-100013366/p
Vick Pyrena Grip-7 10 Cápsulas Procter;293.0;14;São João;7894916501095.0;Itraspor 100mg 4 Cápsulas Sigma Pharma;Disponível;39,44;35,59;-9.8%;35,59;-9.8%;Medicamentos > Antifúngicos > Infecções Sistémicas;999252.0;https://www.saojoaofarmacias.com.br/itraspor-100mg-4-capsulas-sigma-pharma-999252/p
Captopril 25mg 30 Cápsulas Genérico Neo Química;293.0;12;São João;7895296043021.0;Isotretinoína 10mg 30 Cápsulas Genérico Nova Química (C2);Disponível;117,12;39,90;-65.9%;39,90;-65.9%;Medicamentos > Pele E Mucosa > Acne E Espinhas;100001056.0;https://www.saojoaofarmacias.com.br/isotretinoina-10mg-30-capsulas-generico-nova-quimica--c2--100001056/p
Enalapril Genérico EMS 5mg 30 Comprimidos;293.0;13;São João;7896004700526.0;Enalapril Genérico EMS 5mg 30 Comprimidos;Disponível;26,28;10,99;-58.2%;10,99;-58.2%;Medicamentos > Cardiológicos > Pressão Alta;13824.0;https://www.saojoaofarmacias.com.br/enalapril-generico-ems-5mg-30-comprimidos-13824/p
Luftal 30ml Reckitt;293.0;13;São João;7897322702032.0;Rinosoro Gotas 30ml;Disponível;22,35;22,35;-0.0%;22,35;-0.0%;Medicamentos > Gripe E Resfriado > Desentupir Nariz;5861.0;https://www.saojoaofarmacias.com.br/rinosoro-gotas-30ml-5861/p
Lipitor 80Mg 30 Comprimidos Upjohn;293.0;16;São João;7896637031509.0;Inilok 40mg 30 Comprimidos;Disponível;72,96;72,96;-0.0%;72,96;-0.0%;Medicamentos > Estômago E Gastrointestinais > Gastrite E Úlcera;10011853.0;https://www.saojoaofarmacias.com.br/inilok-40mg-30-comprimidos-10011853/p
Oxcene 5mg 30 Comprimidos Biosintética;293.0;14;São João;7896181906582.0;Furosemida 40mg 30 Comprimidos Genérico Biosintética;Disponível;23,78;7,43;-68.8%;7,43;-68.8%;Medicamentos > Cardiológicos > Pressão Alta;94442.0;https://www.saojoaofarmacias.com.br/furosemida-40mg-30-comprimidos-generico-biosintetica-94442/p
Maxitrol Suspensão Oftamológica 5Ml Mundipharma;292.0;14;São João;7896548197967.0;Azorga Suspensão Oftálmica 5ml;Disponível;110,72;88,58;-20.0%;88,58;-20.0%;Medicamentos > Oftalmologia > Remédio Para Glaucoma;10100596.0;https://www.saojoaofarmacias.com.br/azorga-suspensao-oftalmica-5ml-10100596/p
Labrea 5mg 30 Comprimidos Revestidos Cristália (C1);292.0;12;São João;7896181920410.0;Corus 50mg 30 Comprimidos Revestidos;Disponível;14,94;5,70;-61.8%;5,70;-61.8%;Medicamentos > Cardiológicos > Pressão Alta;100003977.0;https://www.saojoaofarmacias.com.br/corus-50mg-30-comprimidos-revestidos-100003977/p
Predsim 40mg 10 Comprimidos Mantecorp;292.0;14;São João;7891142981363.0;Predsim Mantecorp 20mg 10 Comprimidos;Disponível;39,94;36,49;-8.6%;36,49;-8.6%;Medicamentos > Alergias E Infecções > Corticoide;92787.0;https://www.saojoaofarmacias.com.br/predsim-mantecorp-20mg-10-comprimidos-92787/p
Prelone 5mg 10 Comprimidos Aché;292.0;13;São João;7896658030192.0;Oxotron 60mg 15 Comprimidos Aché;Disponível;40,27;35,79;-11.1%;35,79;-11.1%;Medicamentos > Anti-inflamatórios;100019872.0;https://www.saojoaofarmacias.com.br/oxotron-60mg-15-comprimidos-ache-100019872/p
Flutivate Creme 15g GSK;292.0;14;São João;7891317455736.0;Crevagin Creme 40g;Disponível;52,06;46,89;-9.9%;46,89;-9.9%;Medicamentos > Saúde Da Mulher > Ginecológicos;10096584.0;https://www.saojoaofarmacias.com.br/crevagin-creme-40g-10096584/p
Rosuvastatina Althaia Genérico 20mg 30 Comprimidos Revestidos;292.0;13;São João;7898569760496.0;Rosuvastatina Genérico Althaia 20mg 30 Comprimidos Revestidos;Disponível;88,12;23,90;-72.9%;23,90;-72.9%;Medicamentos > Cardiológicos > Colesterol;10011933.0;https://www.saojoaofarmacias.com.br/rosuvastatina-generico-althaia-20mg-30-comprimidos-revestidos-10011933/p
Propranolol Genérico Teuto 40mg 30 Comprimidos;292.0;12;São João;7896112110576.0;Propranolol 40mg 30 Comprimidos Genérico Teuto;Disponível;7,06;3,91;-44.6%;3,91;-44.6%;Medicamentos > Cardiológicos > Pressão Alta;994668.0;https://www.saojoaofarmacias.com.br/propranolol-40mg-30-comprimidos-generico-teuto-994668/p
Ecasil 81mg 90 Comprimidos Revestidos Biolab;292.0;12;São João;7896112421498.0;Xefo 8mg 30 Comprimidos Revestidos Biolab;Disponível;53,68;47,09;-12.3%;47,09;-12.3%;Medicamentos > Anti-inflamatórios;10101507.0;https://www.saojoaofarmacias.com.br/xefo-8mg-30-comprimidos-revestidos-biolab-10101507/p
Ecoxe 60mg 7 Comprimidos Revestidos Hypera Pharma (C1);292.0;13;São João;7891045031493.0;Elifore 100mg 28 Comprimidos Revestidos Pfizer (C1);Disponível;195,02;117,01;-40.0%;117,01;-40.0%;Medicamentos > Sistema Nervoso Central > Depressão;100022276.0;https://www.saojoaofarmacias.com.br/elifore-100mg-28-comprimidos-revestidos-pfizer--c1--100022276/p
Dipirona Solução Oral Genérico EMS 500mg/ml 10ml;292.0;12;São João;7896004718446.0;Solução Oral Dipirona Genérico EMS 500mg 20ml;Disponível;16,59;10,09;-39.2%;10,09;-39.2%;Medicamentos > Analgésicos > Dor E Febre;12356.0;https://www.saojoaofarmacias.com.br/solucao-oral-dipirona-generico-ems-500mg-20ml-12356/p
Monessa 30 Cápsulas Biolab;292.0;13;São João;7896112425328.0;Pantogar 30 cápsulas Biolab;Disponível;113,90;96,69;-15.1%;96,69;-15.1%;Medicamentos > Saúde Da Mulher;10088587.0;https://www.saojoaofarmacias.com.br/pantogar-30-capsulas-biolab-10088587/p
Claril 0,25mg/ml + 3mg/ml Solução Oftálmica 15ml;292.0;14;São João;7899095200586.0;Hiluropt 1,5mg/ml Solução Oftálmica 10ml Gbio;Disponível;50,04;44,79;-10.5%;44,79;-10.5%;Medicamentos > Oftalmologia > Colírios;10033907.0;https://www.saojoaofarmacias.com.br/hiluropt-1-5mg-ml-solucao-oftalmica-10ml-gbio-10033907/p
Triquilar 0,05mg + 0,03mg 63 Comprimidos;292.0;13;São João;7891317177645.0;Primera 20 0,150mg/0,020mg 21 Comprimidos;Disponível;44,50;38,49;-13.5%;38,49;-13.5%;Medicamentos > Saúde Da Mulher > Anticoncepcional;7954.0;https://www.saojoaofarmacias.com.br/primera-20-0-150mg-0-020mg-21-comprimidos-7954/p
Pinazan 100mg 30 Comprimidos Cristalia (C1);292.0;15;São João;7894916515764.0;Vynaxa 10mg 30 Comprimidos Revestidos;Disponível;52,75;52,75;-0.0%;52,75;-0.0%;Medicamentos > Sistema Circulatório > Trombose;10027148.0;https://www.saojoaofarmacias.com.br/vynaxa-10mg-30-comprimidos-revestidos-10027148/p
Subtrax 100ml Eurofarma;292.0;14;São João;7896083400935.0;Rinospray Spray Nasal 100ml;Disponível;64,40;51,52;-20.0%;51,52;-20.0%;Medicamentos > Gripe E Resfriado > Desentupir Nariz;100005071.0;https://www.saojoaofarmacias.com.br/rinospray-spray-nasal-100ml-100005071/p
Tramal 50mg 10 Cápsulas Grünenthal (A2);292.0;13;São João;7896112121145.0;Tramadol 50mg 10 Cápsulas Genérico Teuto (A2);Disponível;37,51;19,90;-46.9%;19,90;-46.9%;Medicamentos > Analgésicos;10092355.0;https://www.saojoaofarmacias.com.br/tramadol-50mg-10-capsulas-generico-teuto--a2--10092355/p
Icaden Spray 1% 50Ml;292.0;14;São João;7896658005305.0;Flogoral Spray 30ml Menta Aché;Disponível;42,28;39,19;-7.3%;39,19;-7.3%;Medicamentos > Analgésicos > Dor De Garganta;1074.0;https://www.saojoaofarmacias.com.br/flogoral-spray-30ml-menta-ache-1074/p
Mirtax Aché 5mg 15 Comprimidos Revestidos;292.0;12;São João;7896637023658.0;Miosan 5mg 10 Comprimidos Revestidos;Disponível;20,15;20,15;-0.0%;20,15;-0.0%;Medicamentos > Anti-inflamatórios;1006624.0;https://www.saojoaofarmacias.com.br/miosan-5mg-10-comprimidos-revestidos-1006624/p
Totacef 500mg 14 Comprimidos Eurofarma;292.0;12;São João;7891317129781.0;Tada Diario 5mg 30 Comprimidos Eurofarma;Disponível;249,06;199,89;-19.7%;199,89;-19.7%;Medicamentos > Saúde Do Homem > Disfunção Erétil;100011319.0;https://www.saojoaofarmacias.com.br/tada-diario-5mg-30-comprimidos-eurofarma-100011319/p
Minilax 714mg/g + 7,70mg/g Pediatrico 7 Bisnagas;292.0;13;São João;7891317015176.0;Minilax 7 Bisnagas Momenta;Disponível;56,58;50,69;-10.4%;50,69;-10.4%;Medicamentos > Estômago E Gastrointestinais > Laxante;4644.0;https://www.saojoaofarmacias.com.br/minilax-7-bisnagas-momenta-4644/p
Oto-Xilodase Solução 8ml Apsen;292.0;12;São João;7896548197554.0;Vigadexa Solução Oftálmica 5ml;Disponível;52,63;46,79;-11.1%;46,79;-11.1%;Medicamentos > Oftalmologia > Colírios;10093153.0;https://www.saojoaofarmacias.com.br/vigadexa-solucao-oftalmica-5ml-10093153/p
Larc 500mg 14 Comprimidos Revestidos Momenta;292.0;15;São João;7896637023658.0;Miosan 5mg 10 Comprimidos Revestidos;Disponível;20,15;20,15;-0.0%;20,15;-0.0%;Medicamentos > Anti-inflamatórios;1006624.0;https://www.saojoaofarmacias.com.br/miosan-5mg-10-comprimidos-revestidos-1006624/p
Ansiodoron Weleda 50ml;292.0;14;São João;7897322702032.0;Rinosoro Gotas 30ml;Disponível;22,35;22,35;-0.0%;22,35;-0.0%;Medicamentos > Gripe E Resfriado > Desentupir Nariz;5861.0;https://www.saojoaofarmacias.com.br/rinosoro-gotas-30ml-5861/p
Cefalexina 500mg 10 Comprimidos Genérico EMS;292.0;15;São João;7896112134213.0;Cefalexina 500mg 10 Comprimidos Genérico Teuto;Disponível;32,10;13,39;-58.3%;13,39;-58.3%;Medicamentos > Alergias E Infecções > Infecção;10105899.0;https://www.saojoaofarmacias.com.br/cefalexina-500mg-10-comprimidos-generico-teuto-10105899/p
Analgésico Flanax 275mg Bayer com 20 comprimidos (embalagem econômica);292.0;13;São João;7896523208404.0;Analgésico Nevralgex 30 Comprimidos Cimed;Disponível;15,90;11,69;-26.5%;11,69;-26.5%;Medicamentos > Analgésicos > Dor Muscular;100018072.0;https://www.saojoaofarmacias.com.br/analgesico-nevralgex-30-comprimidos-cimed-100018072/p
Venlaxin XR 75mg 30 Cápsulas Eurofarma (C1);292.0;14;São João;7896422513951.0;Venlafaxina 75mg 30 Cápsulas Genérico Medley (C1);Disponível;105,77;35,99;-66.0%;35,99;-66.0%;Medicamentos > Sistema Nervoso Central > Depressão;10090273.0;https://www.saojoaofarmacias.com.br/venlafaxina-75mg-30-capsulas-generico-medley--c1--10090273/p
Gliclazida 60mg Genérico Pharlab 60 Comprimidos De Liberação Prolongada;292.0;12;São João;7896004762319.0;Gliclazida Genérico EMS 30mg 30 Comprimidos de Liberação Prolongada;Disponível;30,33;16,90;-44.3%;16,90;-44.3%;Medicamentos > Diabetes;10005838.0;https://www.saojoaofarmacias.com.br/gliclazida-generico-ems-30mg-30-comprimidos-de-liberacao-prolongada-10005838/p
Arflex Retard 200mg 12 Cápsulas;292.0;13;São João;7896009498459.0;Advil 400mg 20 Cápsulas Moles;Disponível;50,80;33,00;-35.0%;33,00;-35.0%;Medicamentos > Analgésicos > Dor E Febre;100021102.0;https://www.saojoaofarmacias.com.br/advil-400mg-20-capsulas-moles-100021102/p
Gliclazida Genérico Pharlab 30mg 60 Comprimidos;292.0;13;São João;7896523213989.0;Glibenclamida 5mg Genérico Cimed 30 Comprimidos;Disponível;16,01;2,99;-81.3%;2,99;-81.3%;Medicamentos > Diabetes;100027666.0;https://www.saojoaofarmacias.com.br/glibenclamida-5mg-generico-cimed-30-comprimidos-100027666/p
Nitazoxanida Genérico EMS Suspensão Oral 20mg/ml 100ml;292.0;12;São João;7896112126430.0;Nistatina 100 000UI/ml Suspensão Oral 50ml Teuto Genérico;Disponível;33,75;30,59;-9.4%;30,59;-9.4%;Medicamentos > Antifúngicos > Micose;10088879.0;https://www.saojoaofarmacias.com.br/nistatina-100-000ui-ml-suspensao-oral-50ml-teuto-generico-10088879/p
Vacina Hepatite A/B AD/PED Twinrix Injetável 1 Seringa 0,5 GSK + Aplicação;292.0;13;São João;7896382709159.0;Mounjaro Tirzepatida 7,5mg Solução Injetável  0,5ml + 4 Canetas Aplicadoras Eli Lilly;Disponível;2766,26;2766,26;-0.0%;2766,26;-0.0%;Medicamentos > Diabetes;10046654.0;https://www.saojoaofarmacias.com.br/mounjaro-tirzepatida-7-5mg-solucao-injetavel--0-5ml---4-canetas-aplicadoras-eli-lilly-10046654/p
Xarope Hytos Plus 100ml União Química;292.0;16;São João;7896658005930.0;Transpulmin Xarope 150ml;Disponível;47,25;42,49;-10.1%;42,49;-10.1%;Medicamentos > Gripe E Resfriado > Xarope Para Tosse Produtiva;1955.0;https://www.saojoaofarmacias.com.br/transpulmin-xarope-150ml-1955/p
Doxiciclina 100mg 20 Comprimidos Revestidos Genérico Pharlab;292.0;14;São João;7897595602206.0;Doxiciclina Genérico Sandoz 100mg 20 Comprimidos;Disponível;72,20;39,89;-44.8%;39,89;-44.8%;Medicamentos > Alergias E Infecções > Infecção;96700.0;https://www.saojoaofarmacias.com.br/doxiciclina-generico-sandoz-100mg-20-comprimidos-96700/p
Iumi 3mg/0,02mg 24 Comprimidos Revestidos;291.0;12;São João;7896094210295.0;Iumi ES 3mg+0,02mg 120 Comprimidos Revestidos Libbs;Disponível;243,34;170,34;-30.0%;170,34;-30.0%;Medicamentos > Saúde Da Mulher > Anticoncepcional;10026836.0;https://www.saojoaofarmacias.com.br/iumi-es-3mg-0-02mg-120-comprimidos-revestidos-libbs-10026836/p
Salonpas Gel-Patch com 3 Unidades Hisamitsu;291.0;13;São João;7891058016999.0;Enterogermina 5ml 10 Unidades Sanofi;Disponível;52,99;39,99;-24.5%;39,99;-24.5%;Medicamentos > Estômago E Gastrointestinais > Diarreia;100001096.0;https://www.saojoaofarmacias.com.br/enterogermina-5ml-10-unidades-sanofi-100001096/p
Bicalutamida 50mg 30 Comprimidos Revestidos Genérico Eurofarma;291.0;12;São João;7891317482541.0;Bicalutamida 50mg 30 comprimidos revestidos Genérico Eurofarma;Disponível;1110,02;149,99;-86.5%;149,99;-86.5%;Medicamentos > Medicamentos Especiais > Oncologia;100004475.0;https://www.saojoaofarmacias.com.br/bicalutamida-50mg-30-comprimidos-revestidos-generico-eurofarma-100004475/p
Rosucor 20mg 100 Comprimidos Revestidos;291.0;12;São João;8902220109520.0;Rosucor 20mg 30 Comprimidos Revestidos Torrent;Disponível;75,69;62,29;-17.7%;62,29;-17.7%;Medicamentos > Cardiológicos > Colesterol;10100895.0;https://www.saojoaofarmacias.com.br/rosucor-20mg-30-comprimidos-revestidos-torrent-10100895/p
Nitazoxanida Suspensão Oral Genérico Eurofarma 20mg/ml 45ml;291.0;13;São João;7896112126430.0;Nistatina 100 000UI/ml Suspensão Oral 50ml Teuto Genérico;Disponível;33,75;30,59;-9.4%;30,59;-9.4%;Medicamentos > Antifúngicos > Micose;10088879.0;https://www.saojoaofarmacias.com.br/nistatina-100-000ui-ml-suspensao-oral-50ml-teuto-generico-10088879/p
Ozempic 0,25mg + 0,5mg com 6 Agulhas NovoFine 4mm;291.0;14;São João;7897705202548.0;Ozempic 0,25mg + 0,5mg com 6 Agulhas Novofine 4mm Novo Nordisk;Disponível;1284,04;1284,04;-0.0%;1284,04;-0.0%;Medicamentos > Diabetes;10004418.0;https://www.saojoaofarmacias.com.br/ozempic-0-25mg---0-5mg-com-6-agulhas-novofine-4mm-novo-nordisk-10004418/p
Pant Sec 50mg/ml Solução Capilar Frasco 50ml Refil Ache;291.0;14;São João;7896658038709.0;Pant Sec 50mg/ml Solução Capilar 3 Frascos 50ml + 1 Válvula Spray Aché;Disponível;109,13;95,19;-12.8%;95,19;-12.8%;Medicamentos > Saúde Do Homem > Calvície;10029021.0;https://www.saojoaofarmacias.com.br/pant-sec-50mg-ml-solucao-capilar-3-frascos-50ml---1-valvula-spray-ache-10029021/p
Gastrobion Gel Cereja 240ml;291.0;14;São João;7896422506649.0;Cetoprofeno 20ml Gotas Genérico Medley;Disponível;23,17;11,90;-48.6%;11,90;-48.6%;Medicamentos > Anti-inflamatórios;11296.0;https://www.saojoaofarmacias.com.br/cetoprofeno-20ml-gotas-generico-medley-11296/p
Loredon 100mg 30 Comprimidos Torrent (C1);291.0;12;São João;7896637023979.0;Donaren 100mg 30 Comprimidos Apsen (C1);Disponível;132,71;132,71;-0.0%;132,71;-0.0%;Medicamentos > Sistema Nervoso Central > Depressão;10096603.0;https://www.saojoaofarmacias.com.br/donaren-100mg-30-comprimidos-apsen--c1--10096603/p
Amoxicilina Suspensão Oral 250mg/5ml 150ml Genérico EMS;291.0;14;São João;7896523208473.0;Amoxicilina Suspensão Oral 250mg/5ml 150ml Genérico Cimed;Disponível;29,54;12,29;-58.4%;12,29;-58.4%;Medicamentos > Alergias E Infecções > Infecção;1000096.0;https://www.saojoaofarmacias.com.br/amoxicilina-suspensao-oral-250mg-5ml-150ml-generico-cimed-1000096/p
Ácido Mefenâmico 500mg Genérico Medley 12 Comprimidos;291.0;12;São João;7891058005672.0;Prednisona 20mg 30 Comprimidos Genérico Medley;Disponível;68,04;44,90;-34.0%;44,90;-34.0%;Medicamentos > Alergias E Infecções > Corticoide;10099305.0;https://www.saojoaofarmacias.com.br/prednisona-20mg-30-comprimidos-generico-medley-10099305/p
Pomada Fitoscar 60mg/g 50g Apsen;291.0;13;São João;7896714230504.0;Massageol Pomada 30g;Disponível;19,90;19,90;-0.0%;19,90;-0.0%;Medicamentos > Anti-inflamatórios;5193.0;https://www.saojoaofarmacias.com.br/massageol-pomada-30g-5193/p
Prysma 2mg 20 Comprimidos Eurofarma (B1);291.0;13;São João;7891317129781.0;Tada Diario 5mg 30 Comprimidos Eurofarma;Disponível;249,06;199,89;-19.7%;199,89;-19.7%;Medicamentos > Saúde Do Homem > Disfunção Erétil;100011319.0;https://www.saojoaofarmacias.com.br/tada-diario-5mg-30-comprimidos-eurofarma-100011319/p
Provance Mini 5 Sachês;291.0;13;;;;;;;;;;;;
Valda Friends Canela 25g;291.0;12;São João;7897851220779.0;Divelol 25mg 60 Comprimidos Baldacci;Disponível;76,75;62,59;-18.4%;62,59;-18.4%;Medicamentos > Cardiológicos > Pressão Alta;10099796.0;https://www.saojoaofarmacias.com.br/divelol-25mg-60-comprimidos-baldacci-10099796/p
Seretide Spray 25mcg + 250mcg 120 Doses;291.0;14;São João;7891317444952.0;Tâmisa 20 75mcg/20mcg 63 Comprimidos Revestidos;Disponível;93,45;77,49;-17.1%;77,49;-17.1%;Medicamentos > Saúde Da Mulher > Anticoncepcional;10091806.0;https://www.saojoaofarmacias.com.br/tamisa-20-75mcg-20mcg-63-comprimidos-revestidos-10091806/p
Azilect 1mg 30 Comprimidos Teva (C1);291.0;12;São João;7896637023979.0;Donaren 100mg 30 Comprimidos Apsen (C1);Disponível;132,71;132,71;-0.0%;132,71;-0.0%;Medicamentos > Sistema Nervoso Central > Depressão;10096603.0;https://www.saojoaofarmacias.com.br/donaren-100mg-30-comprimidos-apsen--c1--10096603/p
Atroveran Hot Adesivo;291.0;13;;;;;;;;;;;;
Candicort Creme 30g Aché;291.0;13;São João;7891010970888.0;Nicorette 4mg Ice Menta 30 Gomas;Disponível;111,63;88,99;-20.3%;88,99;-20.3%;Medicamentos > Sistema Nervoso Central > Parar De Fumar;10106679.0;https://www.saojoaofarmacias.com.br/nicorette-4mg-ice-menta-30-gomas-10106679/p
Preni 40mg 7 Comprimidos Eurofarma;291.0;14;São João;7891317004330.0;Prednisolona Eurofarma 40mg 7 Comprimidos Genérico;Disponível;45,34;29,90;-34.1%;29,90;-34.1%;Medicamentos > Alergias E Infecções > Corticoide;10023158.0;https://www.saojoaofarmacias.com.br/prednisolona-eurofarma-40mg-7-comprimidos-generico-10023158/p
Linadib 5mg 30 Comprimidos Revestidos Sigma Pharma;291.0;13;São João;7894916502641.0;Azi 500mg 5 Comprimidos Revestidos Sigma Pharma;Disponível;45,40;40,09;-11.7%;40,09;-11.7%;Medicamentos > Alergias E Infecções > Infecção;1002637.0;https://www.saojoaofarmacias.com.br/azi-500mg-5-comprimidos-revestidos-sigma-pharma-1002637/p
Frontal XR Upjohn 0,5mg 30 Comprimidos (B1);291.0;13;São João;7891721201806.0;Glifage XR 500mg 30 Comprimidos;Disponível;11,81;8,49;-28.1%;8,49;-28.1%;Medicamentos > Diabetes;10004993.0;https://www.saojoaofarmacias.com.br/glifage-xr-500mg-30-comprimidos-10004993/p
Zart H 100+25mg 30 Comprimidos Eurofarma;291.0;13;São João;7891317455040.0;Domperix 10mg 30 Comprimidos Eurofarma;Disponível;31,03;27,59;-11.1%;27,59;-11.1%;Medicamentos > Estômago E Gastrointestinais > Vômito E Náusea;10102460.0;https://www.saojoaofarmacias.com.br/domperix-10mg-30-comprimidos-eurofarma-10102460/p
Naldecon Febre Infantil 120ml Sabor Morango - Paracetamol 32mg/ml;291.0;13;São João;7896004716299.0;Solução Oral Paracetamol Genérico EMS Bebê 100mg 15ml;Disponível;27,30;21,89;-19.8%;21,89;-19.8%;Medicamentos > Analgésicos > Dor E Febre;10090128.0;https://www.saojoaofarmacias.com.br/solucao-oral-paracetamol-generico-ems-bebe-100mg-15ml-10090128/p
Algie Momenta 150mg 10 Comprimidos;291.0;12;São João;7896658019036.0;Osteoban 150Mg 1 Comprimido Ache;Disponível;60,18;50,79;-15.6%;50,79;-15.6%;Medicamentos > Saúde Óssea > Osteoporose;100000593.0;https://www.saojoaofarmacias.com.br/osteoban-150mg-1-comprimido-ache-100000593/p
Esalerg 1,25mg/ml 20ml Gotas Aché;291.0;14;São João;7896658009532.0;Prelone 3mg 120ml Aché;Disponível;57,73;53,39;-7.5%;53,39;-7.5%;Medicamentos > Alergias E Infecções > Corticoide;14375.0;https://www.saojoaofarmacias.com.br/prelone-3mg-120ml-ache-14375/p
Primera 30Mcg 63 Comprimidos Revestidos;291.0;13;São João;7891317177652.0;Primera 20Mcg 63 Comprimidos Revestidos;Disponível;93,49;77,49;-17.1%;77,49;-17.1%;Medicamentos > Saúde Da Mulher > Anticoncepcional;10096588.0;https://www.saojoaofarmacias.com.br/primera-20mcg-63-comprimidos-revestidos-10096588/p
Janumet XR 50+500mg 60 Comprimidos Revestidos Merck;291.0;13;São João;7891721016165.0;Clinfár 40mg 30 Comprimidos Revestidos Merck;Disponível;115,99;115,99;-0.0%;115,99;-0.0%;Medicamentos > Cardiológicos > Colesterol;10094800.0;https://www.saojoaofarmacias.com.br/clinfar-40mg-30-comprimidos-revestidos-merck-10094800/p
Laclev 9000Fcc 30 Comprimidos Abbott;291.0;14;São João;7896255713160.0;Dilacoron Abbott 80mg 30 Comprimidos Revestidos;Disponível;66,77;53,42;-20.0%;53,42;-20.0%;Medicamentos > Sistema Circulatório;832.0;https://www.saojoaofarmacias.com.br/dilacoron-abbott-80mg-30-comprimidos-revestidos-832/p
Engov Up Original 269ml;291.0;15;São João;7891058061562.0;Rifocina Spray  Aventis 20Ml;Disponível;44,80;44,80;-0.0%;44,80;-0.0%;Medicamentos > Alergias E Infecções > Infecção;2489.0;https://www.saojoaofarmacias.com.br/rifocina-spray--aventis-20ml-2489/p
Bhena 5mg 30 Comprimidos Revestidos Biolab;291.0;14;São João;7896112486787.0;Aradois 50mg 30 Comprimidos Revestidos Biolab;Disponível;56,60;5,80;-89.8%;5,80;-89.8%;Medicamentos > Cardiológicos > Pressão Alta;93786.0;https://www.saojoaofarmacias.com.br/aradois-50mg-30-comprimidos-revestidos-biolab-93786/p
Duepoli 500mg 60 Comprimido  Apsen (C1);291.0;12;São João;7896637023979.0;Donaren 100mg 30 Comprimidos Apsen (C1);Disponível;132,71;132,71;-0.0%;132,71;-0.0%;Medicamentos > Sistema Nervoso Central > Depressão;10096603.0;https://www.saojoaofarmacias.com.br/donaren-100mg-30-comprimidos-apsen--c1--10096603/p
Bifilac Sii 30 Cápsulas;291.0;15;São João;7896112425328.0;Pantogar 30 cápsulas Biolab;Disponível;113,90;96,69;-15.1%;96,69;-15.1%;Medicamentos > Saúde Da Mulher;10088587.0;https://www.saojoaofarmacias.com.br/pantogar-30-capsulas-biolab-10088587/p
