Produto;Quantidade_Total;Frequencia_Vendas
Hezo Eszoplicona 2Mg Com 20 Comprimidos;409.0;14
Trinulox Creme 15g;409.0;13
@ Amoxicilina+Clav 400+57Mg 70Ml Ger;409.0;12
Valerimed 50mg 20 Comprimidos Revestidos;409.0;13
Sal de Frutas Eno frasco com 100g de pó efervescente de uso oral, tradicional;408.0;13
Divalcon ER 500mg 60 Comprimidos Revestidos;408.0;13
Spidufen 770mg 20 comprimidos;408.0;14
Cetoconazol Creme Cimed 20Mg G, Caixa Com 1 Bisnaga Com 30G De Creme De Uso Dermatologico;408.0;14
Hidratante Anal em Gel Pro com 3g c 10 Bisnaga;408.0;15
Roxflan Besilato de Anlodipino 10mg 30 comprimidos;408.0;13
Piemonte 4Mg, Caixa Com 30 Comprimidos Mastigaveis;408.0;13
Nesina Pio 25Mg + 30Mg, Caixa Com 30 Comprimidos Revestidos;407.0;15
Haldol 1mg caixa com 20 comprimidos;407.0;15
Tramadol 50mg Genérico Neo Química 10 cápsulas;407.0;13
Fentizol 0,02G G, Caixa Contendo 1 Bisnaga Com Creme De Uso Dermatologico De 20G;407.0;13
RECONTER 10MG 30CPR;407.0;13
Tolrest 75mg 30cpr;407.0;14
Novacort Pom 30Gr;407.0;13
Cetoprofeno Comprimido Sanofi Medley 150Mg, Caixa Com 10 Comprimidos Revestidos De Liberacao Prolongada;406.0;13
Pant Solucao Capilar 50Ml Com 3 Unidades;406.0;14
Biofenac Di 50mg Aché 20 Comprimidos Dispersíveis;406.0;14
Plasil Comprimido 10mg, caixa com 20 comprimidos;406.0;14
Allegra 60mg, caixa com 10 comprimidos revestidos;406.0;14
Azitromicina 500mg 5cpr medley;406.0;15
Cefaliv 1mg + 100mg + 350mg, caixa com 12 comprimidos;406.0;14
Mesilato De Doxazosina Cimed 4Mg, Caixa Com 30 Comprimidos;406.0;13
Ibupril Comprimido 300Mg, Caixa Com 20 Comprimidos;405.0;14
Cicloprimogyna 2Mg +  2Mg + 0,25Mg , Caixa Com 21 Drageas;405.0;14
@ Levofloxacino 500Mg 7Cp io;405.0;15
Desalex D12 2,5mg 10 Comprimidos Merck;405.0;13
Lorax 2mg 30 Comprimidos;405.0;16
Alginac Diclofenaco Sódico 50mg + B1 50mg + B6 50mg + B12 1000mcg 30 comprimidos;405.0;17
Stugeron 25mg, Caixa com 30 comprimidos;405.0;15
Risperidona 1mg União Química 30 Comprimidos Revestidos;405.0;14
Utrogestan 200Mg Caixa Com 14 Cápsulas;405.0;14
Sertralina 50 30 Eur Gen;404.0;13
Sumaxpro 50mg + 500mg, caixa com 2 comprimidos revestidos;404.0;15
Labirin 24Mg, Caixa Com 60 Comprimidos;404.0;14
Analgésico Tylenol Criança Líquido 60mL;404.0;14
Glicerin 6 supositórios Adulto;404.0;14
Folifolin 5Mg, Caixa Com 30 Comprimidos;404.0;13
Óleo de Rícino Farmax frasco com 30mL de óleo de uso oral;403.0;15
Diovan Valsartana 80mg 28 comprimidos;403.0;15
Suplemento Vitamínico e Mineral Puravit Imune Sabor Morango 75ml + Copo Dosador;403.0;12
Ablok Plus 25 12 5mg Biolab 30 Comprimidos;402.0;13
Meclin 25mg, caixa com 15 comprimidos;402.0;14
Suplemento Alimentar Nouve Da 30 Sticks 2g cada;402.0;14
Uro-vaxom 6mg 30cpr;402.0;13
Lifepen g roxa caneta para insulina;402.0;13
Berinat 500mg, caixa com 30 cápsulas;402.0;14
Succinato de Desvenlafaxina Monoidratado 50mg Biosintética 30 comprimidos;402.0;13
Anti-Hipertensivo Brasart Mono 160mg 30 Comprimidos;402.0;15
Dipropionato de Betametasona 5mg mL + Fosfato Dissódico de Betametasona 2mg mL Suspensão Injetável 1 ampola 1mL Eurofarma Genérico;402.0;14
Euthyrox 100mcg, caixa com 50 comprimidos;402.0;12
Omcilon-A Orabase 1mg/g, caixa com 1 bisnaga com 10g de pasta de uso bucal;402.0;13
Diazepam 10mg Pharlab 30 Comprimidos;402.0;16
Olmy Anlo 20mg + 5mg, caixa com 30 comprimidos revestidos;401.0;13
Melocox 7,5mg, caixa com 10 comprimidos;401.0;14
Floral De Bach Polinize Harmonia Sexual 30mL;401.0;13
Amoxicilina 500Mg Eurofarma, Caixa Com 30 Capsulas;401.0;16
Aminofilina Comprimido Teuto 100Mg, Caixa Com 20 Comprimidos;400.0;13
Flogoral Colutorio Laranja 150ml;400.0;13
Diprogenta Pomada Com 30g;400.0;14
Imunovalle Kids Solucao De Uso Oral 120Ml;400.0;17
Amoxicilina 500mg 5ml Prati150ml;400.0;15
Neozine 4  Gts 20Ml  C1;400.0;14
Dimorf 10mg caixa com 50 cápsulas;400.0;16
Omeprazol Medley 20mg, caixa com 42 cápsulas gelatinosas duras de liberação retardada;400.0;13
Flucomed Fluconazol 150mg 1 cápsula;400.0;14
Paracetamol 500mg + Fosfato de Codeína 30mg EMS 12 Comprimidos;399.0;13
Femoston Conti 1mg + 5mg, caixa com 28 comprimidos revestidos;399.0;13
Flavenos 450mg + 50mg, caixa com 60 comprimidos revestidos;399.0;13
Atrovent 0,25mg/mL, caixa com 1 frasco com 20mL de solução de uso inalatório;399.0;15
Cloridrato de Dorzolamida 2  colirio 5ml Bio;399.0;16
Camomila Composta Catarinense 150mL;399.0;14
@ Otosporin Gts;399.0;13
Divena 40mg 60 Comprimidos Revestidos De Liberação Retardada;399.0;15
Suplemento Vitamínico e Mineral Ossone 30 Comprimidos Revestidos;399.0;13
Addera D3 10000Ui 10 Comprimidos;398.0;14
Cloridrato de Sertralina 50mg Biosintética 30 Comprimidos Revestidos;398.0;15
LuftaGastroPro Sabor Menta sachê  unit 10ml;398.0;14
MaterDHA caixa com 30 cápsulas moles;398.0;14
Funchimed Baby 5g;398.0;15
Clonazepam 2,5mg Medley Frasco Gotejador 20ml;398.0;13
Condroflex Zodiac Sabor Abacaxi 30 Sachês;398.0;16
@ Sulfametoxazol Tri 800 160Mg 10Cp Prat;398.0;13
Topiramato 50Mg 60Cpr Bio Gen;398.0;14
Clotrimazol Creme Vaginal Medley 20mg/g, caixa com 1 bisnaga com 20g de creme de uso vaginal + 3 aplicadores;398.0;14
Atenolol 100Mg 30Cpr Bio Ge;397.0;14
Naprix A 10Mg + 10Mg, Caixa Com 30 Capsulas Gelatinosas Duras;397.0;14
